Product ID,Sales Date,Inventory Quantity,Product Cost
9882,07/08/2021,8,109.55
4791,20/05/2018,91,38.7
8916,12/09/2021,63,12.99
5697,05/02/2018,65,164.5
4144,23/06/2021,68,57.96
8520,03/03/2021,32,198.14
1519,11/07/2018,52,82.06
8109,13/08/2021,43,117.51
8790,10/07/2019,6,185.59
4394,17/04/2021,19,152.93
7375,18/10/2021,70,73.03
8161,21/04/2019,10,74.71
9038,13/04/2019,46,115.08
5839,23/06/2022,32,145.49
7383,11/10/2019,47,30.24
2430,19/01/2019,56,95.28
6315,04/11/2022,50,12.34
4977,17/03/2021,67,42.22
2036,09/12/2018,56,62.43
9123,01/05/2021,79,47.15
7224,05/07/2022,43,93.64
8848,06/10/2019,23,193.27
4971,30/10/2019,49,63.26
9939,04/01/2019,88,155.85
2133,05/08/2022,53,137.87
7176,01/06/2018,58,198.23
7853,18/01/2021,5,160.24
3725,18/08/2021,79,18.42
5239,31/03/2019,66,151.9
9199,05/11/2018,45,199.56
3321,15/12/2019,40,75.18
8412,16/10/2019,9,67.05
3692,25/02/2022,32,108.04
7636,13/07/2021,24,45.41
8037,07/03/2020,1,143.9
2667,26/06/2022,69,45.52
9646,01/08/2021,41,123.42
5873,12/06/2021,76,26.1
3316,12/11/2020,50,89.47
3838,10/02/2021,22,103.03
6882,20/01/2018,63,35.94
8272,27/09/2020,22,25.71
3755,18/05/2022,59,117.47
7010,15/01/2021,97,17.91
5055,02/09/2019,5,95.45
4882,06/03/2019,95,121.71
4390,08/07/2022,8,118.31
5380,24/10/2022,66,197.24
5543,11/11/2022,84,34.11
7434,29/09/2020,19,119.71
2525,05/04/2020,66,152.46
2526,05/02/2022,59,130.62
4470,10/10/2020,35,71.34
6631,29/10/2021,98,19.2
8479,02/01/2018,55,48.44
6905,28/05/2019,11,80.65
4836,29/05/2020,84,27.33
9510,24/10/2021,57,11.76
2160,14/04/2019,50,26.97
3181,06/08/2021,87,37.14
3480,23/04/2020,79,140.45
7291,21/12/2019,55,69.76
5668,15/05/2022,89,15.1
5842,16/08/2021,7,158.92
2163,17/12/2020,2,197.51
9951,30/10/2021,23,154.92
1990,05/06/2022,51,106.26
3501,23/07/2019,11,68.88
2083,28/09/2019,90,93.12
1901,26/09/2019,86,150.92
9133,12/12/2019,67,108.27
2934,29/04/2022,4,73.65
2262,13/10/2020,59,107.05
2685,21/03/2021,87,147.33
8729,16/01/2020,50,184.84
7870,05/04/2019,42,57.17
1862,03/01/2019,29,162.82
6090,02/11/2019,12,115.09
4974,08/08/2020,48,122.42
3466,14/01/2018,53,14.54
6038,01/08/2018,27,110.66
5584,10/07/2018,6,185.04
9280,01/10/2018,82,165.79
5276,09/10/2022,41,185.95
4321,06/10/2018,100,156.33
2978,02/01/2021,46,193.28
3582,12/07/2022,88,67.8
5066,30/12/2019,51,107.56
8408,12/02/2021,96,114.52
2010,28/08/2022,100,196.69
2376,07/04/2021,76,59.18
3110,08/07/2018,43,33.28
7471,13/10/2020,4,82.72
8307,15/12/2022,20,16.58
2437,27/07/2019,50,36.07
7266,21/05/2022,92,78.23
3946,23/02/2018,41,123.45
4813,23/11/2018,13,57.09
4594,25/03/2021,50,77.41
6878,26/04/2021,4,143.66
9064,15/01/2021,40,43.36
8831,02/01/2018,43,184.4
6301,02/05/2018,3,38.07
7120,13/12/2021,85,85.16
8157,10/06/2022,82,192.53
6846,03/04/2019,86,121.9
1029,08/12/2021,74,84.4
4619,02/08/2021,73,29.78
6234,10/12/2018,82,178.21
2110,19/12/2019,33,159.53
7783,06/10/2020,49,76.73
4695,30/11/2018,58,24
6600,15/12/2018,49,40.57
1507,02/06/2020,84,41.35
7705,28/11/2021,71,147.19
9043,11/11/2018,7,78.56
4271,18/07/2018,4,49.32
8715,28/09/2020,85,60.35
1731,24/06/2019,57,98.36
2584,25/06/2018,86,75.32
7858,01/01/2021,88,174.71
1568,25/10/2020,74,181.09
3738,10/03/2019,25,33.98
3422,05/09/2022,77,59
5525,30/11/2020,59,184.26
2641,05/08/2018,73,158.11
8750,18/03/2018,23,62.33
4892,11/04/2018,96,100.29
5593,23/09/2022,63,173.06
6257,06/07/2019,94,89.19
8937,05/04/2022,67,174.77
9589,06/12/2022,73,15.5
6904,14/12/2021,26,62.06
7102,28/09/2020,77,94.76
2480,07/08/2019,4,83.45
5408,27/08/2021,53,107.52
1138,04/04/2019,33,125.59
5128,23/03/2019,60,67.41
7131,23/02/2021,83,122.82
5529,04/08/2021,42,173.68
1930,08/07/2022,77,86.78
5250,07/05/2020,52,83.77
8794,07/10/2021,46,106.39
3999,24/10/2021,43,134.34
6428,01/02/2020,34,121.26
2166,25/08/2020,25,105.09
4281,03/12/2019,53,197.57
8988,13/11/2019,81,197.46
3762,26/03/2021,98,40.1
8821,25/02/2020,1,17.17
9700,26/01/2019,3,138.58
7284,27/10/2020,76,68.16
9587,23/11/2019,56,178.72
3701,21/07/2022,52,13.63
3017,21/01/2020,92,133.6
1796,01/05/2021,7,135.77
9966,02/06/2019,61,143.35
5423,29/06/2021,78,143.14
2741,16/10/2020,26,125.71
9980,13/10/2020,27,140.76
2809,07/09/2022,74,137.11
5192,12/08/2021,30,96.78
1646,12/10/2022,38,78.44
1751,20/01/2018,18,136.04
2522,03/02/2020,44,44.75
8835,27/06/2022,54,133.28
3611,01/08/2018,54,183.13
1472,02/11/2022,88,177.19
1753,10/05/2018,34,134.44
9570,10/11/2021,90,127.47
3435,15/09/2022,72,179.49
9123,16/11/2022,22,24.22
4648,01/02/2021,83,81.94
9166,04/07/2020,41,32.55
1002,19/08/2022,12,160.44
1889,31/07/2022,29,170.42
2596,05/04/2022,85,52.13
9552,05/02/2020,90,30.2
2752,05/06/2019,79,47.23
6536,09/08/2018,97,88.75
9172,09/01/2018,68,149.88
3845,05/02/2022,17,29.68
5067,15/07/2019,51,193.08
9393,05/09/2019,90,114.08
6657,09/10/2021,17,196.45
7839,12/10/2021,96,179.83
3381,19/04/2018,86,20.75
2016,15/11/2021,38,48.76
4675,01/03/2022,83,116.64
7825,03/06/2022,88,69.4
8259,27/08/2022,29,183.18
3906,30/10/2021,10,45.53
3131,26/11/2018,75,170.74
6285,07/05/2021,7,157
6207,12/12/2020,29,191.83
4624,15/12/2022,28,136.03
8780,23/02/2021,97,196.42
4994,23/03/2018,88,178.28
9468,11/08/2022,99,81.24
9419,18/06/2018,13,41.81
7950,08/09/2022,14,49.06
6434,19/03/2018,12,23.92
5237,14/04/2020,50,95.71
1096,06/08/2021,93,127.49
5937,27/05/2021,12,63.49
9740,27/03/2019,18,151.88
7113,23/01/2018,71,176.21
9970,24/06/2018,40,49.91
3637,12/01/2019,29,127.21
1891,10/10/2022,97,187.15
8982,09/11/2019,46,34.36
8960,11/07/2020,43,127.11
8017,12/12/2018,1,69.51
6432,03/12/2022,62,97.94
2343,20/09/2022,36,173.16
2235,08/02/2018,65,130.01
9842,24/08/2020,84,157.29
5767,02/10/2018,60,105.21
3717,31/03/2022,66,36.67
3395,16/02/2022,94,101.87
7052,25/04/2019,6,137.03
6309,31/07/2018,91,194
7201,19/01/2020,76,134.13
6781,01/08/2022,45,102.5
2263,19/11/2020,83,63.35
4773,29/04/2020,43,146.85
7732,15/02/2018,32,18.2
1916,07/12/2018,34,185.26
2404,20/03/2019,58,125.24
3979,30/06/2021,85,107.05
7196,29/02/2020,17,30.63
1639,03/12/2022,69,105.63
1019,06/05/2022,87,133.35
8899,06/06/2022,99,82.43
2373,04/08/2019,77,176.59
9561,30/08/2018,67,11.37
5155,20/06/2019,69,90.48
8904,02/01/2019,48,116.23
7522,15/02/2022,18,172.45
4513,07/11/2020,52,159.36
3381,23/08/2020,77,92.72
7296,31/03/2020,79,134.67
8192,22/01/2018,26,171.61
4795,13/06/2021,22,138.06
5520,16/05/2022,52,77.09
2124,04/07/2018,71,64.05
4187,20/07/2020,52,119.23
5821,28/11/2019,15,162.56
4985,01/04/2022,44,192.64
5224,19/05/2018,49,130.4
9776,20/01/2018,90,168.11
2245,09/02/2021,23,100.55
4115,18/10/2020,95,47.94
6833,16/11/2018,100,30.27
1692,03/10/2022,62,80.53
5501,02/10/2020,24,197.03
7933,06/09/2020,70,16.19
2972,01/12/2021,67,97.41
6924,08/06/2021,34,45.56
4013,18/10/2020,55,50
3148,25/03/2021,88,53.43
4212,26/10/2018,95,38.41
9470,29/12/2020,93,69.99
2621,15/11/2021,21,21.41
5256,10/01/2020,47,116.47
4259,27/03/2021,74,133.47
8322,27/12/2022,11,82.4
6527,13/05/2020,81,126.34
5773,25/12/2021,35,125.02
9535,11/07/2020,53,41.79
2311,08/03/2019,22,85.44
7504,09/12/2020,98,199.24
7387,26/09/2019,30,57.01
1468,13/03/2018,85,77.8
9987,30/06/2020,18,194.21
9576,03/08/2021,82,111.42
6992,24/04/2020,34,39.59
5698,18/08/2020,69,11.58
4788,20/06/2022,1,114.16
7385,24/08/2022,49,51.91
5454,07/08/2019,84,151.16
2808,28/07/2021,59,127.37
9764,15/02/2018,24,194.74
2477,05/11/2018,2,103.78
8597,28/11/2021,5,72.75
3975,29/01/2019,33,165.28
8257,22/05/2019,95,198.96
4415,26/08/2020,50,139.47
9534,08/09/2018,33,101.43
2850,29/04/2019,82,92.49
4982,19/01/2018,6,120.4
2497,05/11/2021,80,74.3
2759,15/09/2018,63,54.21
3207,29/05/2019,6,102.21
9906,14/12/2019,42,149.16
5314,14/01/2021,47,96.28
4912,19/10/2019,93,22.03
5638,23/10/2019,53,131.77
3126,01/01/2019,5,48.4
9026,12/12/2020,80,143.25
4419,04/09/2021,63,186.4
7814,11/08/2022,48,160.91
2276,19/03/2019,67,28.45
3931,17/02/2021,96,116.05
2705,08/12/2018,24,114.49
6163,31/01/2021,42,170.52
9939,15/03/2019,49,155.48
1567,06/08/2019,77,13.1
6159,14/02/2018,99,166.17
5341,22/01/2020,75,57.47
2264,21/01/2022,42,160.65
2562,04/05/2021,83,67.07
8115,03/05/2020,16,175.26
9591,26/03/2018,41,112.59
7436,01/07/2020,97,123.08
6507,19/06/2018,61,118.57
3136,10/04/2022,18,101.38
9589,20/05/2019,32,23.61
7776,17/05/2020,47,76.18
6729,16/06/2021,57,128.4
3555,01/04/2022,94,172.03
5713,29/01/2018,44,141.82
9814,10/03/2019,27,113.82
1301,11/02/2020,75,182.15
5444,19/04/2018,60,134.4
6901,06/11/2022,14,13.62
6168,19/09/2020,77,111
1352,23/03/2018,32,185.23
6765,29/12/2019,81,67.44
1482,10/02/2021,36,52.86
4726,04/05/2020,31,118.85
4387,29/08/2021,18,120.4
3215,30/05/2020,99,37.58
4016,13/10/2019,19,148.15
5485,08/11/2018,100,45.71
4783,06/05/2021,30,53.87
8680,29/12/2021,84,81.05
7694,15/04/2022,2,185.83
2083,29/12/2018,57,174.75
1685,30/05/2021,95,166.62
9605,06/08/2021,91,159.51
5025,28/11/2020,69,85.17
5770,19/06/2020,51,178.04
9470,19/10/2018,60,167.68
9952,05/10/2018,51,88.58
4308,13/12/2022,59,27.13
8362,22/07/2021,47,26.21
6491,04/03/2021,85,173.91
6071,04/02/2022,99,192.58
5146,26/01/2018,59,104.55
8794,18/07/2020,53,93.96
4401,11/04/2018,24,38.17
5889,10/11/2019,12,19.32
3906,21/07/2020,96,120
2108,03/04/2022,55,170.23
6393,15/12/2020,53,109.68
2436,17/09/2020,93,140.84
6797,23/09/2018,79,116.9
5759,01/02/2019,1,32.46
7793,27/04/2020,6,73.42
2111,23/09/2019,39,106.27
1477,01/09/2022,23,46.86
8888,15/11/2018,81,97.52
9537,06/09/2019,73,147.74
6793,16/05/2018,20,63.29
7382,19/01/2019,77,32.2
4893,01/02/2020,58,167.6
1612,12/05/2022,26,183.54
6572,17/09/2020,94,176.04
9456,17/10/2021,17,48.99
6095,01/04/2018,88,171.14
6119,16/02/2018,74,154.11
8227,06/10/2021,16,61.8
2677,28/02/2019,70,76.56
5011,17/12/2018,10,69.16
1826,05/08/2018,50,20.22
8304,16/06/2021,46,69.36
3159,10/07/2018,90,98.97
4796,04/04/2019,19,173.61
6320,17/07/2020,63,15.75
6711,22/05/2021,74,34.2
2162,11/06/2022,39,111.22
8903,26/02/2020,9,74.74
3835,19/09/2021,86,24.8
8294,27/12/2018,40,191.62
6364,09/10/2020,83,135.43
1003,31/03/2022,19,135.57
6187,06/09/2019,73,160.93
1133,06/06/2021,66,86.8
1013,11/12/2021,72,165.94
7459,04/07/2021,41,145.24
3278,21/01/2019,72,83.07
3200,24/01/2018,10,133.19
3248,08/08/2021,54,173.43
7303,29/12/2019,29,45.3
7731,23/01/2021,74,79.72
2311,18/10/2018,94,148.95
5017,25/08/2020,81,150.92
1176,18/08/2020,59,107.41
5738,10/12/2018,5,142.06
1845,06/09/2021,38,163.69
5552,01/06/2019,17,127
3476,11/09/2021,58,80.26
9640,01/11/2022,5,75.14
7765,27/04/2022,50,55.21
5331,28/03/2022,15,19.98
9724,24/04/2019,49,139.87
5731,21/06/2022,58,82.58
8074,04/06/2021,84,173.09
7408,02/08/2020,99,138.31
6132,26/01/2021,2,137.83
6759,26/03/2019,93,63.83
4552,12/05/2021,82,33.14
4027,16/08/2018,90,45.01
5528,25/04/2022,55,141.52
7271,06/03/2020,43,199.23
4287,03/06/2021,51,43.9
2740,23/06/2020,92,59.21
1307,16/10/2020,20,134.04
7411,22/03/2021,1,107.92
2148,11/01/2021,29,10.63
5961,31/03/2020,8,130.13
8530,07/04/2022,99,65.09
5896,26/11/2021,50,180.33
3292,15/03/2018,25,14.82
9186,29/12/2020,58,193.65
7643,31/08/2018,28,163.35
3319,28/09/2020,84,13.62
1818,22/09/2019,13,96.68
4613,10/05/2018,26,90.98
6268,10/09/2022,28,155.2
3753,27/11/2021,48,115.15
7162,12/05/2022,21,12.97
5648,02/05/2020,89,163.41
7750,05/05/2019,23,126
5934,14/12/2019,54,10.87
6929,02/11/2022,98,197.49
4173,19/08/2018,20,140.2
6966,07/08/2019,27,92.59
3881,20/11/2018,4,102.16
6340,08/05/2020,26,151.95
7759,17/11/2022,26,81.35
3374,19/03/2019,79,96.45
5418,19/02/2019,43,34.17
3804,07/04/2022,44,51.77
3784,29/03/2021,71,172.45
8757,11/09/2022,60,63.04
3440,20/03/2021,1,89.38
7974,23/12/2020,51,101.06
7662,23/03/2019,17,78.1
8524,24/10/2022,74,151.98
4030,06/06/2022,48,129.09
5859,22/05/2020,97,61.26
9433,13/10/2021,47,178.72
3871,20/08/2021,72,143.93
8839,19/02/2022,97,120.22
7929,22/07/2019,7,22.04
9714,21/10/2021,69,180.9
2075,21/01/2019,59,26.59
5521,18/08/2018,90,38.11
9870,28/09/2018,61,75.87
4806,06/09/2022,67,132.49
9686,21/09/2022,71,94.6
4715,18/09/2020,48,194.44
3634,28/12/2021,69,64.2
3072,21/06/2020,34,80.24
8347,10/01/2021,21,111.39
8504,18/10/2019,20,10.82
3409,26/06/2022,73,148.42
3284,20/10/2021,71,32.21
6347,23/04/2018,78,131.85
2431,14/11/2020,51,46.95
8006,28/01/2020,50,80.84
2435,18/03/2019,94,178.68
7944,01/02/2022,54,36.52
6495,16/05/2018,76,153.66
8571,25/12/2021,73,153.5
1691,13/08/2022,39,168.57
1040,12/11/2018,34,67.03
9059,09/11/2021,83,56.5
6927,05/04/2021,62,117.46
1287,28/09/2022,34,40.94
3675,19/04/2018,35,78.62
9419,01/02/2019,99,129.33
5932,10/07/2019,88,142.61
3243,27/11/2020,37,80.87
3532,27/10/2020,29,168
1284,09/09/2020,45,69.2
6604,19/12/2018,91,67.89
6036,14/09/2018,27,34.74
8934,01/04/2022,56,18.08
2948,03/06/2019,6,22.59
4277,14/01/2019,86,76.79
6698,23/12/2019,21,172.48
4555,05/01/2022,25,193.21
9260,10/10/2022,91,100.2
7219,18/05/2020,28,107.71
9515,06/10/2018,64,154.83
8486,14/05/2021,95,69.28
4093,21/10/2022,9,180
2723,22/03/2020,57,109.31
2666,27/02/2022,22,22.29
4815,13/09/2022,55,147.79
6834,01/09/2020,86,124.6
3001,29/05/2019,63,104.48
1438,02/01/2019,49,124.87
9518,21/04/2022,64,160.62
6629,16/07/2022,70,113.86
7165,25/06/2020,59,16.84
6119,05/01/2022,50,102.62
8797,25/02/2021,21,106.27
6779,19/04/2022,37,70.89
1440,17/04/2022,81,74.84
5001,23/05/2019,31,133.14
9821,30/10/2019,5,97.57
6185,13/02/2020,74,84.16
9237,20/07/2022,98,136.8
2234,18/09/2022,69,50.68
2506,09/01/2022,75,28
4436,13/12/2019,10,133.79
7591,30/05/2019,80,107.92
9178,13/03/2019,85,192.8
8106,05/03/2021,94,129.08
5919,25/09/2022,56,87.95
3631,10/06/2019,88,124.23
6087,08/08/2020,63,116.37
3235,01/03/2018,34,160.04
1326,24/04/2018,11,69.64
2479,23/03/2020,93,170.12
9605,31/05/2019,64,178.07
7388,09/07/2022,96,151.35
8200,16/04/2020,33,173.95
9941,17/05/2020,61,139.72
1345,14/08/2021,78,16.61
6945,22/07/2022,88,33.19
5186,09/09/2019,12,187.9
6196,07/12/2022,99,132.44
8718,18/02/2022,53,186.03
5275,02/11/2020,9,76.85
4010,14/07/2021,57,160.29
2347,15/08/2018,21,57.42
3187,18/06/2019,23,140.62
7182,06/09/2022,74,52.65
3764,12/04/2018,52,127.42
2922,29/01/2018,92,109.91
5361,13/08/2019,96,103.89
5636,28/01/2022,87,45.98
4858,19/06/2021,58,182.39
7513,07/11/2021,28,145.53
4847,22/08/2020,46,199.38
7466,06/10/2021,48,35.13
8669,28/09/2018,12,70.29
9179,21/11/2022,36,152.09
5321,24/11/2020,41,92.8
8208,19/04/2018,25,38.24
8150,26/08/2018,64,17.75
3425,11/09/2018,45,27.78
4479,10/04/2021,1,109.94
2545,23/12/2022,43,14.93
6300,11/11/2018,4,25.4
6397,31/03/2018,84,128.25
3118,09/03/2019,7,162.3
7248,09/07/2018,52,58.48
7592,07/08/2019,83,152.99
6080,03/11/2021,78,34.94
8805,04/07/2019,73,124.06
7979,10/07/2018,6,107.53
9638,13/07/2021,83,109.69
3434,19/09/2018,88,181.55
1738,17/11/2020,14,107.02
6823,06/06/2019,75,25.54
7438,03/04/2018,11,89.09
5342,01/12/2019,24,50.1
1095,19/03/2020,15,12.53
8974,13/09/2019,80,164.5
4126,18/08/2018,3,142.25
8139,21/09/2022,81,173.06
1357,27/08/2018,22,181.46
4298,27/08/2019,73,167.6
8074,01/05/2020,64,150.04
8993,20/04/2019,92,21.53
7834,26/12/2022,61,32.22
4149,19/08/2020,45,93.24
8675,26/09/2018,38,147.37
8738,26/06/2022,21,128.15
9063,26/07/2018,54,189.18
6878,10/12/2022,34,77.84
2043,23/11/2019,56,31.65
6820,25/04/2022,6,156.32
2706,17/12/2021,7,186.06
2669,14/08/2022,72,17.97
3572,31/01/2022,38,144.55
3014,04/10/2022,26,93.43
9274,17/12/2018,11,60.54
9677,13/05/2020,30,36.22
9456,16/06/2022,88,78.74
2140,23/06/2018,44,69.81
3473,22/03/2021,8,195.77
5986,17/01/2022,96,69.6
3406,05/12/2021,52,94.78
7627,08/05/2022,26,177.39
3064,01/12/2020,70,63.95
1456,29/12/2022,70,122.58
1982,20/09/2022,48,59.35
5881,18/03/2021,95,10.99
9737,26/09/2022,77,54.43
3293,02/01/2022,49,108.74
6919,19/07/2020,13,37.85
8802,16/03/2019,58,24.83
8210,12/11/2021,63,149.03
3119,13/12/2021,66,174.02
7051,01/09/2018,78,171.94
2929,31/01/2020,40,198.29
7910,10/04/2018,40,178.92
6712,19/05/2018,6,89.34
3175,10/04/2022,18,105.91
2463,27/06/2022,80,136.26
8259,16/02/2022,36,132.72
3028,11/08/2021,72,26.18
9713,04/01/2019,3,62.24
2386,11/07/2022,69,125.3
3957,29/04/2020,4,173.33
3755,08/08/2019,19,44.71
6329,07/01/2019,4,145.53
5225,09/02/2020,16,19.86
2885,06/07/2019,8,70.48
1305,06/07/2019,71,193.06
7664,02/07/2020,11,170.79
9806,17/05/2020,72,95.83
3742,02/01/2018,8,187.37
6757,22/09/2022,81,50.42
2469,20/03/2020,90,33.37
6215,16/12/2022,88,189.63
4450,30/07/2020,77,72.41
3843,26/04/2020,72,180.1
2270,08/01/2021,4,179.59
6864,03/03/2020,23,169.44
4629,02/03/2022,3,154.1
4623,25/04/2019,64,193.79
1116,06/02/2019,82,85.26
3875,14/05/2018,76,34.37
9570,01/02/2022,36,46.45
7997,05/08/2021,87,189.18
9491,13/08/2020,64,78.68
6181,11/01/2018,51,46.98
2219,27/05/2019,26,41.25
1393,28/04/2021,81,187.66
1891,10/08/2022,43,108.74
8314,31/03/2021,16,26.25
3089,07/05/2018,57,20.41
7249,02/04/2020,13,127.29
8428,26/02/2020,60,161.08
9474,04/11/2019,76,46.57
4172,19/03/2021,17,131.1
4983,09/10/2018,6,21.49
9866,08/05/2022,19,38.01
3369,28/04/2018,31,106.35
4297,28/05/2022,9,74.89
6499,15/06/2021,39,89.55
