Sales Date,GDP,Inflation Rate,Seasonal Factor
20/08/2021,22907.68,3.27,1.1
05/06/2021,15867.38,3.68,0.87
04/09/2020,18835.74,2.79,0.91
11/09/2019,21536.83,3.77,0.82
11/08/2020,21387.11,4.76,0.95
25/03/2019,19158.46,3.2,0.99
01/07/2022,20255.07,3.11,0.94
07/05/2018,16645.37,4.42,0.98
08/01/2022,19534.32,3.05,0.98
18/02/2021,18959.49,4.27,1.1
03/04/2018,24345.83,1.28,1.17
11/08/2019,18744.61,4.57,0.98
09/02/2020,16186.33,4.97,0.96
30/01/2022,19630.04,3.88,0.97
14/08/2022,17756.5,4.75,1.09
07/03/2018,17060.82,1.4,0.81
17/05/2019,20397.6,4.02,1.11
28/10/2020,17369.04,4.51,1.19
29/03/2019,21259.93,2.71,1
10/08/2021,19082.59,2.2,0.87
27/08/2020,23057.76,4.66,1.02
15/02/2021,17033.37,3.59,1.17
09/07/2018,17684.62,3.69,1.04
21/01/2019,17088.89,4.63,0.92
10/03/2019,24144.41,3.78,1.08
06/05/2019,19662.5,3.59,0.92
16/11/2020,24143.3,2.48,0.97
27/02/2022,16524.11,2.32,0.95
19/10/2020,22633.61,2.95,1.09
01/08/2020,16399.59,3.19,0.87
07/08/2021,22643.39,2.65,1.14
20/05/2018,18732.01,3.47,1.07
12/09/2021,15167.26,3.89,1.01
05/02/2018,16070.16,1.39,0.86
23/06/2021,22949.36,1.32,1.18
03/03/2021,21840.42,4.39,1.06
11/07/2018,21367.48,3.81,0.83
13/08/2021,17297.66,4.61,1.08
10/07/2019,16793.55,4.4,0.81
17/04/2021,17992.77,3.26,1.03
18/10/2021,20007.93,4.9,0.82
21/04/2019,15296.26,2.09,1.2
13/04/2019,16857.38,3.34,0.95
23/06/2022,16542.21,3.85,1.05
11/10/2019,19447.36,4.05,0.84
19/01/2019,15262.62,2.42,0.84
04/11/2022,22791.69,3.9,1.02
17/03/2021,16388.4,2.2,1
09/12/2018,22826.67,2.44,1.18
01/05/2021,18046.58,4.8,0.93
05/07/2022,18004.35,3.41,1.08
06/10/2019,22348.74,3.53,1.19
30/10/2019,16138.88,3.26,1.04
04/01/2019,24429.75,1.84,1.12
05/08/2022,17420.21,3.63,1.09
01/06/2018,20343.67,4.69,1.15
18/01/2021,16093.69,1.99,1.07
18/08/2021,24657.17,2.72,0.8
31/03/2019,18741.2,2.85,1.07
05/11/2018,17954.32,4.68,0.83
15/12/2019,18483,1.39,1.09
16/10/2019,23491.8,3.59,1.07
25/02/2022,20598.49,4.83,0.89
13/07/2021,15291.92,3.46,0.88
07/03/2020,22523.25,4.23,0.83
26/06/2022,19575.5,2.05,1.15
01/08/2021,18479.25,4.38,1.05
12/06/2021,16178.62,2.22,0.87
12/11/2020,19230.39,2.95,1.01
10/02/2021,18145.8,2.8,0.82
20/01/2018,19091.34,2.97,1.08
27/09/2020,17920.9,2.1,1.02
18/05/2022,20727.14,2.07,1.02
15/01/2021,24897.76,1.41,1.13
02/09/2019,19390.7,4.98,1.11
06/03/2019,16659.82,1.56,0.88
08/07/2022,18236.54,3.82,0.92
24/10/2022,24627.72,4.14,1.17
11/11/2022,16462.43,2.29,0.9
29/09/2020,18751.72,1.3,1.12
05/04/2020,24502.54,2.31,0.8
05/02/2022,22956.78,2.59,1.19
10/10/2020,20473.11,1.52,1.14
29/10/2021,15162.81,4.72,0.86
02/01/2018,16589.77,4.73,0.91
28/05/2019,18963.42,2.22,1.08
29/05/2020,17134.21,1.31,1.04
24/10/2021,24881.55,2.69,0.85
14/04/2019,18133.51,4.52,0.85
06/08/2021,19400.99,3.89,1.05
23/04/2020,23965.93,1.56,0.85
21/12/2019,17769.68,1.34,1.02
15/05/2022,20177.49,3.04,1.1
16/08/2021,18858.86,1.96,1.06
17/12/2020,18868.38,4.36,0.97
30/10/2021,20873.63,1.06,0.89
05/06/2022,22018.11,1.33,1.01
23/07/2019,20363.9,2.56,1.05
28/09/2019,17444.8,4.7,0.85
26/09/2019,15126.65,1.55,0.8
12/12/2019,18718.69,4,1.15
29/04/2022,20238.54,2.05,1.19
13/10/2020,23593.6,1.67,0.86
21/03/2021,15440.38,4.45,0.9
16/01/2020,20528.65,4.66,1.1
05/04/2019,23259.97,3.29,0.85
03/01/2019,15689.26,2.86,0.91
02/11/2019,17006.71,3.26,0.92
08/08/2020,22324.63,3.19,1.12
14/01/2018,24509.9,1.01,1.06
01/08/2018,19920.29,1.24,1.2
10/07/2018,19584.58,3.99,1.03
01/10/2018,19349.83,4.86,0.89
09/10/2022,18180.58,2.09,0.83
06/10/2018,16056.58,2.8,0.93
02/01/2021,18083.08,2.06,0.85
12/07/2022,23359.25,2.31,0.84
30/12/2019,23200.9,1.7,1.18
12/02/2021,16019.07,4.18,0.85
28/08/2022,23236.73,2.49,1.05
07/04/2021,24971.61,1.79,1.06
08/07/2018,16679.89,3.3,1.13
13/10/2020,18539.43,4.63,0.91
15/12/2022,19988.92,4.53,0.99
27/07/2019,21307.54,4.21,1.12
21/05/2022,24126.77,3.01,0.96
23/02/2018,15585.91,4.97,1.01
23/11/2018,20336.9,4.16,1.09
25/03/2021,17365.51,2.27,1.1
26/04/2021,20631.09,1.75,1.2
15/01/2021,15561.68,3.41,0.81
02/01/2018,18407.59,1.71,1.12
02/05/2018,23464.81,4.44,1.18
13/12/2021,18017.65,1.55,0.86
10/06/2022,22071.83,3.25,1.16
03/04/2019,18068.23,3.75,0.85
08/12/2021,21023.89,4.68,1.19
02/08/2021,18311.68,1.31,0.94
10/12/2018,19466.3,2.06,0.9
19/12/2019,18859.37,3.93,1.19
06/10/2020,23288.07,4.15,1.03
30/11/2018,15200.78,2.04,0.84
15/12/2018,18379.51,4.94,1.16
02/06/2020,15535.56,2.32,1.19
28/11/2021,17974.01,1.38,0.96
11/11/2018,17945.49,3.65,1.04
18/07/2018,19735.71,1.46,1.11
28/09/2020,18710.21,2.53,0.87
24/06/2019,20642.47,1.6,1.08
25/06/2018,20536.02,4.36,1.13
01/01/2021,19762.62,1.32,1.16
25/10/2020,24492.55,2.8,1.18
10/03/2019,24882.8,2.74,1.2
05/09/2022,18880.99,2.59,0.93
30/11/2020,16125.19,1.6,1.03
05/08/2018,23778.94,2.06,1.06
18/03/2018,15387.83,4.56,0.93
11/04/2018,15202.33,4.27,0.92
23/09/2022,16343.86,4.9,0.98
06/07/2019,19417.17,4.65,0.96
05/04/2022,15656.17,3.84,0.96
06/12/2022,23369.77,2,0.98
14/12/2021,21354.1,1.5,0.81
28/09/2020,18442.49,4.35,0.9
07/08/2019,23571.11,3.59,1.07
27/08/2021,24115.15,3.59,1.04
04/04/2019,19238.07,2.51,0.94
23/03/2019,15073.48,5,1.19
23/02/2021,21844.13,2.93,0.93
04/08/2021,16883.6,3.07,0.9
08/07/2022,22212.83,3.62,1.2
07/05/2020,18431.67,3.85,1.07
07/10/2021,17937.84,2.88,1.1
24/10/2021,17233.28,4.49,0.97
01/02/2020,19705.37,4.47,1.03
25/08/2020,19131.07,4.48,0.86
03/12/2019,18163.83,3.86,1.11
13/11/2019,15047.14,2.09,1.1
26/03/2021,21144.8,3.53,0.96
25/02/2020,24500.69,4.57,1.1
26/01/2019,21935.25,2.38,0.85
27/10/2020,17982.02,2.16,1.09
23/11/2019,24961.39,2.96,1.1
21/07/2022,17111.9,1.09,1
21/01/2020,23765.44,2.02,1.01
01/05/2021,21897.5,2.67,0.95
02/06/2019,18011.16,3.65,1.06
29/06/2021,20115.85,3.47,0.91
16/10/2020,18579.22,2.64,0.86
13/10/2020,17345.05,1.05,0.84
07/09/2022,22795.26,1.3,1.09
12/08/2021,19642.77,1.4,0.87
12/10/2022,22385.4,1.38,1.1
20/01/2018,18575.27,2.75,1.05
03/02/2020,24623.1,2.09,0.95
27/06/2022,16325.12,3.91,1.19
01/08/2018,16812.61,2.52,0.94
02/11/2022,24203.98,1.45,0.96
10/05/2018,24778.96,3.68,0.94
10/11/2021,19819.3,3.65,1.06
15/09/2022,21433.99,1.63,1.14
16/11/2022,17408.92,4.88,0.82
01/02/2021,19590.95,4.21,0.98
04/07/2020,16026.43,2.65,1.02
19/08/2022,21545.96,2.82,0.94
31/07/2022,22166.58,2.45,0.98
05/04/2022,23298.84,4.86,0.92
05/02/2020,16404.49,3.87,1.09
05/06/2019,17155.9,4.3,0.88
09/08/2018,19573.88,3.36,1
09/01/2018,24243.71,4.12,1.16
05/02/2022,19186.65,3.44,1.08
15/07/2019,23047.97,1.55,1.04
05/09/2019,17008.89,3.5,0.92
09/10/2021,22103.53,4.04,1.02
12/10/2021,23083.05,3.09,0.81
19/04/2018,24835.32,3.73,0.86
15/11/2021,23140.26,1.41,1.15
01/03/2022,21929.36,1.19,0.95
03/06/2022,22436.7,1.81,1.15
27/08/2022,22761.47,4.86,0.92
30/10/2021,18771.98,2.71,1.02
26/11/2018,19663.31,4.75,0.82
07/05/2021,22899.08,3.2,0.83
12/12/2020,19159.31,3.15,0.84
15/12/2022,17935.74,4.8,1.05
23/02/2021,21689.38,2.78,1.16
23/03/2018,18858.76,3.16,0.91
11/08/2022,15438.52,4.59,0.88
18/06/2018,17107.81,3.52,0.89
08/09/2022,22468.91,1.62,0.98
19/03/2018,20580.84,3.3,0.89
14/04/2020,18164.04,2.56,0.85
06/08/2021,18577,3.01,0.92
27/05/2021,18951.13,3.64,0.99
27/03/2019,17980.57,4.55,1.19
23/01/2018,15417.73,3.29,0.96
24/06/2018,19126.54,3.58,1.01
12/01/2019,16146.23,3.68,1.03
10/10/2022,17906.53,1.27,0.84
09/11/2019,17851.37,1.28,0.88
11/07/2020,20655.52,2.46,0.93
12/12/2018,17766.8,2.44,1.07
03/12/2022,19869.71,1.44,1.06
20/09/2022,17632.35,4.55,0.83
08/02/2018,24063.04,3.21,1.02
24/08/2020,17233.07,4.09,1.09
02/10/2018,18638.66,1.04,0.9
31/03/2022,20663.57,3.26,1.15
16/02/2022,17188.19,2.95,0.83
25/04/2019,19696.74,2.82,0.82
31/07/2018,20786.31,3.28,0.95
19/01/2020,18763.29,4.63,1.01
01/08/2022,20018.37,1.56,0.87
19/11/2020,16573.57,3.41,1.13
29/04/2020,19790.21,3.36,1.06
15/02/2018,21295.4,1.16,1.03
07/12/2018,23785.09,3.91,1.13
20/03/2019,16705.67,4.32,1.04
30/06/2021,24223.52,3.39,0.83
29/02/2020,23265.14,3.42,0.87
03/12/2022,19822.41,1.52,1.04
06/05/2022,23748.24,3.79,0.97
06/06/2022,16338.83,2.91,0.89
04/08/2019,16890.21,3.84,1.12
30/08/2018,19088.45,1.43,0.97
20/06/2019,24917.99,2.59,0.88
02/01/2019,24885.08,3.31,1.11
15/02/2022,19465.95,3.8,0.86
07/11/2020,18891.04,3.54,1.12
23/08/2020,17217.7,1.32,0.82
31/03/2020,24457.16,4.28,1.06
22/01/2018,15336.09,3.4,1.01
13/06/2021,21550.19,4.9,0.83
16/05/2022,20860.8,3.07,1.09
04/07/2018,24632.88,2.11,1.04
20/07/2020,19071.35,1.43,0.83
28/11/2019,21941.92,4.86,1.03
01/04/2022,23965.24,4.45,0.99
19/05/2018,23001.61,2.65,0.94
20/01/2018,15930.09,3.69,1.13
09/02/2021,23943.16,2.08,1.18
18/10/2020,17067.79,1.81,0.9
16/11/2018,21138.27,4.06,1.02
03/10/2022,23981.21,4.52,1.03
02/10/2020,17220.93,3.31,0.82
06/09/2020,23604,4.1,0.98
01/12/2021,21741.03,2.52,0.84
08/06/2021,17694.08,4.83,0.94
18/10/2020,23543.26,2.12,0.87
25/03/2021,23040.88,3.22,1.14
26/10/2018,19215.21,1.54,1.16
29/12/2020,17509.74,4.43,0.82
15/11/2021,23389.72,1.39,1.1
10/01/2020,15198.35,1.48,1.15
27/03/2021,18551.09,3.69,0.99
27/12/2022,21317.12,1.58,0.87
13/05/2020,15791.12,2.37,0.93
25/12/2021,23876.92,4.12,1.18
11/07/2020,22277.72,3.65,1.18
08/03/2019,24367.94,2.89,0.82
09/12/2020,21181.02,1.34,1.17
26/09/2019,21264.81,1.53,1.14
13/03/2018,19671.93,4.48,1.17
30/06/2020,21310.48,3.54,1.03
03/08/2021,20396.68,4.22,0.98
24/04/2020,20233.16,4.03,0.85
18/08/2020,17996.11,4.06,1.12
20/06/2022,23821.62,2.75,0.9
24/08/2022,21253.23,3.07,1.12
07/08/2019,16880.01,1.27,0.85
28/07/2021,16877.89,1.08,0.82
15/02/2018,16250.39,2.75,0.8
05/11/2018,18115.77,4.2,1.2
28/11/2021,17665.04,2.57,1.02
29/01/2019,24745.99,3.86,0.95
22/05/2019,22353.23,1.38,1.07
26/08/2020,16586.11,3.91,1.1
08/09/2018,18604.27,1.21,1.07
29/04/2019,22943.9,3.34,0.96
19/01/2018,18713.99,1.36,0.86
05/11/2021,18555.18,1.62,1.01
15/09/2018,22331.89,1.09,0.95
29/05/2019,20427.34,2.96,1.03
14/12/2019,15688.77,1.62,0.92
14/01/2021,23829.32,3.48,0.95
19/10/2019,20240.7,2.99,1.02
23/10/2019,20232.01,1.27,1.13
01/01/2019,15987.54,3.28,1.13
12/12/2020,18663.54,3.42,0.83
04/09/2021,23010.2,1.24,1.02
11/08/2022,20290.21,3.94,1.13
19/03/2019,16894.6,3.1,0.9
17/02/2021,21744.93,3.81,0.97
08/12/2018,20339,3.4,1.17
31/01/2021,23261.55,2.29,0.9
15/03/2019,24616.52,2.79,0.96
06/08/2019,15065.69,4.94,0.89
14/02/2018,15942.87,2.84,0.86
22/01/2020,15919.05,2.6,1.17
21/01/2022,23257.05,3.76,1.03
04/05/2021,22801.22,4.69,0.93
03/05/2020,21338.87,3.53,0.82
26/03/2018,20024.02,1.88,0.82
01/07/2020,19319.36,4.15,0.86
19/06/2018,17625.58,2.59,0.97
10/04/2022,18953.19,3.29,1.02
20/05/2019,21847.38,3.3,0.85
17/05/2020,20938.77,1.1,0.92
16/06/2021,24242.13,1.93,1.07
01/04/2022,17430.48,3.48,0.86
29/01/2018,19500.62,1.09,0.88
10/03/2019,21230.42,4.97,1.08
11/02/2020,16703.2,2.14,1.12
19/04/2018,18886.45,2.09,1.14
06/11/2022,24797.93,3.03,1.08
19/09/2020,20006.51,2.83,1.17
23/03/2018,19899.33,3.98,0.81
29/12/2019,21257.92,4.51,1.16
10/02/2021,21569.32,1.35,0.95
04/05/2020,24097.35,2.32,1.02
29/08/2021,18089.98,3.82,1.01
30/05/2020,15678.14,3.13,1.09
13/10/2019,24611.96,2.21,1.1
08/11/2018,15261.98,4.94,1.05
06/05/2021,15794.75,4.12,0.85
29/12/2021,19738.47,1.66,0.89
15/04/2022,22423.67,4.95,1.1
29/12/2018,23667.75,4.55,0.97
30/05/2021,21115.05,3.97,1.04
06/08/2021,19569,4.51,1.15
28/11/2020,20161.27,3.52,0.82
19/06/2020,16664.87,2.18,1.17
19/10/2018,22226.47,1.45,1.11
05/10/2018,16788.79,3.36,1.09
13/12/2022,22183.75,1.49,0.85
22/07/2021,18786.79,2.52,1.11
04/03/2021,16788.67,3.85,0.97
04/02/2022,16175.54,1.53,0.88
26/01/2018,21079.84,2.97,0.89
18/07/2020,23821.68,2.11,1.05
11/04/2018,16453.74,1.13,1.03
10/11/2019,16613.35,2.14,1.06
21/07/2020,22685.12,2.29,1.16
03/04/2022,19708.17,1.49,1.14
15/12/2020,16093.02,3.92,1.05
17/09/2020,21088.45,2.27,1.01
23/09/2018,23079.8,4.53,0.89
01/02/2019,22374.68,1.83,1.05
27/04/2020,21406.18,3.76,0.9
23/09/2019,16138.37,2.33,0.96
01/09/2022,24161.63,4.19,1.06
15/11/2018,22839.89,2.66,1.1
06/09/2019,17082.62,3.74,1.12
16/05/2018,24836.19,3.51,1.14
19/01/2019,22098.4,2.09,0.83
01/02/2020,20251,1.7,0.95
12/05/2022,22990.25,4.62,0.86
17/09/2020,16432.95,4.49,1.13
17/10/2021,18875.88,4.46,0.85
01/04/2018,19668.76,1.18,1.01
16/02/2018,17005.56,2.15,1.01
06/10/2021,16144.6,4.83,1.02
28/02/2019,16415.57,3.82,0.91
17/12/2018,15507.26,1.12,1.16
05/08/2018,16789.83,3.38,1.04
16/06/2021,24736.82,4.02,0.99
10/07/2018,21844.78,3.84,0.99
04/04/2019,18920.77,3.8,1.07
17/07/2020,18514.41,2.84,0.87
22/05/2021,23175.53,4.19,0.93
11/06/2022,17385.75,1.97,0.86
26/02/2020,20672.11,2.37,1.08
19/09/2021,20921.63,2.85,1.02
27/12/2018,21855.09,3.39,1.13
09/10/2020,23170.34,4.55,1.16
31/03/2022,18899.83,3.31,0.88
06/09/2019,22177.91,4.66,1.2
06/06/2021,15624.11,4.6,1.19
11/12/2021,23612.48,4.46,0.89
04/07/2021,19351.9,1.84,0.87
21/01/2019,16542.67,4.99,1.07
24/01/2018,21579.27,4.9,0.85
08/08/2021,19543.94,2.7,1.13
29/12/2019,23468.04,1.95,1
23/01/2021,22048.83,1.45,0.99
18/10/2018,20169.5,3.09,1.04
25/08/2020,21130.39,4.61,1.01
18/08/2020,19210.16,4.84,1.12
10/12/2018,15614.18,2.89,0.87
06/09/2021,19847.6,1.51,0.83
01/06/2019,15142.03,1.45,0.87
11/09/2021,22825.28,1.94,0.87
01/11/2022,20955.44,4.29,1.14
27/04/2022,17108.57,3.94,0.94
28/03/2022,19762.32,2.91,1.18
24/04/2019,17626.25,3.12,0.97
21/06/2022,15973.64,3.13,0.94
04/06/2021,17670.88,1.39,1.06
02/08/2020,20199.52,3.71,1.2
26/01/2021,19112.49,3.1,1.07
26/03/2019,15237,1.37,1.18
12/05/2021,23564.41,1.52,1.06
16/08/2018,21604.78,1.3,0.98
25/04/2022,16619.66,1.3,1.11
06/03/2020,16779.29,1.28,1.19
03/06/2021,16438.73,4.07,0.89
23/06/2020,15704.12,3.91,1.11
16/10/2020,21646.06,2.07,1.08
22/03/2021,19360.58,4.38,1.11
11/01/2021,20672.44,4.74,0.94
31/03/2020,20346.26,4.84,0.83
07/04/2022,20544.75,4.87,1.06
26/11/2021,15848.62,3.53,1.09
15/03/2018,18887.68,4.17,1.06
29/12/2020,18392.85,2.35,1.09
31/08/2018,22410.51,1.93,0.83
28/09/2020,22012.97,1.52,0.87
22/09/2019,23178,1.43,1
10/05/2018,16208.02,3.74,1.02
10/09/2022,15632.22,2.1,1.1
27/11/2021,24256.76,1.16,0.84
12/05/2022,15063.5,1.72,0.84
02/05/2020,17061.6,3.56,1.01
05/05/2019,22171.99,3.45,0.84
14/12/2019,16175.08,3.12,0.84
02/11/2022,22703.31,3.64,0.91
19/08/2018,16763.24,3.68,0.82
07/08/2019,15433.17,3.96,1.17
20/11/2018,23950.79,3.89,1.04
08/05/2020,22789.75,2.3,0.84
17/11/2022,19709.9,2.94,1.16
19/03/2019,16364.05,3.88,1.05
19/02/2019,16365.01,4.41,0.98
07/04/2022,22895.47,3.55,1.04
29/03/2021,23569.74,2.96,1.2
11/09/2022,17478.31,2.74,0.89
20/03/2021,24912.74,3.93,1
23/12/2020,19952.85,1.33,1.1
23/03/2019,15159.3,3.68,0.86
24/10/2022,19637.61,1.55,1.08
06/06/2022,18848.79,3.76,1.01
22/05/2020,21204.55,2.34,1.17
13/10/2021,18655.91,3.48,0.95
20/08/2021,24812.52,1.95,0.85
19/02/2022,18204.64,4.59,1
22/07/2019,19862.27,3.11,0.85
21/10/2021,22999.04,4.78,1.12
21/01/2019,17883.73,4.83,0.84
18/08/2018,20206.88,3.51,0.92
28/09/2018,17915.17,1.25,1.15
06/09/2022,21557.61,4.15,0.99
21/09/2022,23982.82,2.23,1.12
18/09/2020,18531.21,2.82,0.87
28/12/2021,16612.55,1.47,1.2
21/06/2020,21655.53,4.91,0.86
10/01/2021,19045.62,3,0.86
18/10/2019,19739.11,2.16,1.18
26/06/2022,21891.47,3.93,1.16
20/10/2021,21175.22,1.88,0.94
23/04/2018,16957.16,1.33,1.14
14/11/2020,24084.47,2.44,0.86
28/01/2020,18513.55,4.91,1.15
18/03/2019,17886.34,4.22,1.19
01/02/2022,17077.84,2.9,1.15
16/05/2018,19094.61,4.66,0.97
25/12/2021,16860.06,2.53,1.02
13/08/2022,20592.81,2.85,0.81
12/11/2018,21538.13,4.57,0.97
09/11/2021,19930.5,4.88,1.04
05/04/2021,24742.59,4.27,0.95
28/09/2022,18196.81,4.51,0.85
19/04/2018,17898.56,3.12,1.17
01/02/2019,20437.12,4.49,1.13
10/07/2019,20344.2,2.41,0.86
27/11/2020,18403.13,4.64,0.84
