Customer_ID,gender,Partner,Dependents,Senior_Citizen,Call_Duration,Data_Usage,Plan_Type,Plan_Level,Monthly_Bill_Amount,Tenure_Months,Multiple_Lines,Tech_Support,Churn
NSat2047,Male,No,No,0,198,26.86,Postpaid,Premium,116.5,15,Yes,Yes,1
NSat2048,Female,No,No,0,307,30.23,Prepaid,Basic,80,4,No,No,1
NSat2049,Male,No,No,0,563,28.59,Postpaid,Premium,334.7,16,Yes,Yes,1
NSat2050,Female,Yes,Yes,0,464,24.7,Prepaid,Basic,100,2,Yes,Yes,1
NSat2051,Female,No,No,1,290,31.86,Prepaid,Premium,126,37,Yes,Yes,0
NSat2052,Female,No,No,0,199,27.76,Prepaid,Basic,80,3,No,No,1
NSat2053,Female,Yes,No,1,82,26.18,Postpaid,Premium,142,16,Yes,Yes,1
NSat2054,Female,Yes,No,1,557,24.63,Prepaid,Basic,92,12,Yes,No,1
NSat2055,Female,Yes,Yes,1,392,23.98,Prepaid,Basic,88,13,No,Yes,1
NSat2056,Male,No,No,1,419,29.44,Prepaid,Basic,92,13,Yes,No,1
NSat2057,Female,Yes,Yes,0,129,28.46,Postpaid,Premium,307.8,15,Yes,Yes,1
NSat2058,Male,Yes,Yes,1,222,22.2,Postpaid,Premium,108.65,16,Yes,Yes,1
NSat2059,Female,Yes,Yes,0,237,23.07,Prepaid,Basic,92,7,Yes,No,1
NSat2060,Female,No,No,0,233,25.45,Postpaid,Premium,268.45,13,Yes,Yes,1
NSat2061,Female,Yes,No,0,383,28.22,Postpaid,Premium,257.6,17,Yes,Yes,1
NSat2062,Male,No,No,0,146,29.06,Prepaid,Premium,126,41,Yes,Yes,0
NSat2063,Male,Yes,No,0,151,28.33,Prepaid,Premium,126,51,Yes,Yes,0
NSat2064,Female,Yes,Yes,0,432,24.18,Prepaid,Basic,88,9,No,Yes,1
NSat2065,Female,No,No,0,243,24.89,Prepaid,Premium,126,39,Yes,Yes,0
NSat2066,Female,No,No,0,327,29.75,Prepaid,Basic,88,1,No,Yes,1
NSat2067,Male,Yes,No,0,182,27.14,Prepaid,Premium,126,52,Yes,Yes,0
NSat2068,Female,No,No,0,366,27.59,Prepaid,Premium,126,9,Yes,Yes,0
NSat2069,Female,Yes,Yes,0,140,31.79,Prepaid,Basic,80,13,No,No,1
NSat2070,Male,No,No,0,140,22.25,Prepaid,Basic,80,13,No,No,1
NSat2071,Male,No,No,0,82,21.13,Prepaid,Basic,88,14,No,Yes,1
NSat2072,Female,Yes,Yes,0,182,23.6,Prepaid,Basic,80,9,No,No,1
NSat2073,Male,Yes,Yes,1,142,22.16,Prepaid,Basic,100,10,Yes,Yes,1
NSat2074,Male,Yes,Yes,0,216,24.78,Postpaid,Premium,136.35,17,Yes,Yes,1
NSat2075,Female,No,Yes,0,333,22.11,Prepaid,Premium,126,31,Yes,Yes,0
NSat2076,Female,No,No,1,445,25.99,Postpaid,Premium,200.25,13,Yes,Yes,1
NSat2077,Female,No,No,0,146,22.09,Prepaid,Premium,126,39,Yes,Yes,0
NSat2078,Female,Yes,Yes,0,120,29.06,Prepaid,Premium,126,50,Yes,Yes,0
NSat2079,Male,No,No,1,144,27.54,Postpaid,Premium,170.85,13,Yes,Yes,1
NSat2080,Female,Yes,Yes,0,296,27.13,Prepaid,Basic,92,1,Yes,No,1
NSat2081,Female,No,Yes,0,313,21.56,Prepaid,Basic,80,14,No,No,1
NSat2082,Female,Yes,Yes,0,158,30.48,Prepaid,Basic,80,4,No,No,1
NSat2083,Female,Yes,No,0,137,25.25,Prepaid,Basic,80,14,No,No,1
NSat2084,Female,No,No,0,104,28.36,Prepaid,Premium,126,33,Yes,Yes,0
NSat2085,Female,Yes,No,0,255,21.37,Prepaid,Premium,126,9,Yes,Yes,0
NSat2086,Male,No,No,0,257,26.59,Prepaid,Basic,92,5,Yes,No,1
NSat2087,Female,Yes,No,0,461,21.79,Prepaid,Basic,80,2,No,No,1
NSat2088,Female,Yes,Yes,0,321,20.61,Prepaid,Basic,80,9,No,No,1
NSat2089,Female,Yes,Yes,0,184,23.29,Prepaid,Basic,80,3,No,No,1
NSat2090,Male,Yes,No,0,402,25.93,Postpaid,Premium,123.15,18,Yes,Yes,1
NSat2091,Male,Yes,Yes,0,428,24.84,Prepaid,Basic,80,12,No,No,1
NSat2092,Male,No,No,1,261,26.55,Prepaid,Basic,88,12,No,Yes,1
NSat2093,Male,Yes,Yes,0,160,24.32,Prepaid,Basic,100,10,Yes,Yes,1
NSat2094,Female,No,No,0,303,26.77,Prepaid,Premium,126,27,Yes,Yes,0
NSat2095,Male,No,No,0,97,21.75,Prepaid,Basic,92,13,Yes,No,1
NSat2096,Female,No,No,0,372,28.6,Prepaid,Basic,92,4,Yes,No,1
NSat2097,Male,Yes,Yes,0,265,25.23,Prepaid,Premium,126,35,Yes,Yes,0
NSat2098,Male,No,No,0,243,23.25,Prepaid,Premium,126,32,Yes,Yes,0
NSat2099,Male,No,No,0,316,24.8,Prepaid,Basic,80,1,No,No,1
NSat2100,Female,Yes,No,1,415,26.04,Prepaid,Basic,80,8,No,No,1
NSat2101,Male,No,No,0,183,26.86,Prepaid,Premium,126,48,Yes,Yes,0
NSat2102,Female,Yes,Yes,0,295,22.36,Prepaid,Basic,80,13,No,No,1
NSat2103,Male,No,No,0,302,25.58,Prepaid,Basic,100,10,Yes,Yes,1
NSat2104,Female,Yes,No,1,336,24.48,Postpaid,Premium,136.35,13,Yes,Yes,1
NSat2105,Male,Yes,No,0,505,27.42,Postpaid,Premium,329.4,18,Yes,Yes,1
NSat2106,Male,No,No,0,405,25.29,Prepaid,Premium,126,13,Yes,Yes,0
NSat2107,Female,Yes,Yes,0,261,23.69,Prepaid,Premium,126,5,Yes,Yes,0
NSat2108,Female,No,No,0,229,25.23,Postpaid,Premium,349.2,14,Yes,Yes,1
NSat2109,Male,No,No,0,309,28.98,Postpaid,Premium,329.6,18,Yes,Yes,1
NSat2110,Male,Yes,Yes,0,249,24.64,Prepaid,Basic,80,12,No,No,1
NSat2111,Male,Yes,No,0,369,26.77,Postpaid,Premium,270,18,Yes,Yes,1
NSat2112,Female,No,No,0,115,24.51,Postpaid,Premium,170.3,15,Yes,Yes,1
NSat2113,Female,No,No,0,154,20.69,Prepaid,Basic,80,13,No,No,1
NSat2114,Female,Yes,No,1,389,28.32,Prepaid,Basic,92,13,Yes,No,1
NSat2115,Female,Yes,Yes,0,126,27.69,Prepaid,Basic,88,2,No,Yes,1
NSat2116,Male,Yes,Yes,0,264,26.57,Prepaid,Basic,80,4,No,No,1
NSat2117,Female,No,No,0,287,22.35,Prepaid,Premium,126,17,Yes,Yes,0
NSat2118,Female,Yes,Yes,0,265,24.57,Postpaid,Premium,189.7,15,Yes,Yes,1
NSat2119,Female,No,No,0,201,23.89,Prepaid,Basic,80,8,No,No,1
NSat2120,Male,Yes,Yes,0,147,28.34,Prepaid,Basic,100,6,Yes,Yes,1
NSat2121,Female,Yes,Yes,0,327,23.88,Prepaid,Premium,126,51,Yes,Yes,0
NSat2122,Female,No,No,0,155,21.91,Postpaid,Premium,126.4,16,Yes,Yes,1
NSat2123,Male,No,No,0,339,28.37,Prepaid,Premium,126,46,Yes,Yes,0
NSat2124,Female,Yes,Yes,0,386,26.85,Prepaid,Premium,126,24,Yes,Yes,0
NSat2125,Female,Yes,Yes,0,352,24.75,Postpaid,Premium,311.75,13,Yes,Yes,1
NSat2126,Male,No,No,0,420,27.09,Postpaid,Premium,170.25,14,Yes,Yes,1
NSat2127,Female,No,No,1,259,24.74,Prepaid,Premium,126,41,Yes,Yes,0
NSat2128,Male,Yes,No,0,107,23.51,Prepaid,Premium,126,52,Yes,Yes,0
NSat2129,Male,No,No,0,290,27.66,Prepaid,Premium,126,49,Yes,Yes,0
NSat2130,Male,No,No,1,218,28.39,Postpaid,Premium,197.7,15,Yes,Yes,1
NSat2131,Female,No,No,0,381,23.11,Prepaid,Premium,126,55,Yes,Yes,0
NSat2132,Female,Yes,Yes,0,181,20.16,Prepaid,Basic,80,13,No,No,1
NSat2133,Male,No,No,0,222,31.4,Prepaid,Premium,126,53,Yes,Yes,0
NSat2134,Male,No,No,0,381,23.82,Prepaid,Basic,80,13,No,No,1
NSat2135,Male,No,No,0,72,28.83,Prepaid,Basic,80,3,No,No,1
NSat2136,Female,No,No,0,163,26.73,Prepaid,Basic,92,5,Yes,No,1
NSat2137,Female,No,No,0,182,24.23,Postpaid,Premium,182.3,16,Yes,Yes,1
NSat2138,Female,Yes,Yes,0,105,27.34,Postpaid,Premium,189.75,18,Yes,Yes,1
NSat2139,Male,No,Yes,0,503,29.61,Prepaid,Basic,80,2,No,No,1
NSat2140,Female,Yes,No,1,215,26.95,Prepaid,Basic,80,8,No,No,1
NSat2141,Female,Yes,Yes,1,308,27.75,Postpaid,Premium,185.1,15,Yes,Yes,1
NSat2142,Female,No,No,0,113,25.37,Prepaid,Basic,100,7,Yes,Yes,1
NSat2143,Female,Yes,No,0,423,23.09,Prepaid,Premium,126,60,Yes,Yes,0
NSat2144,Male,No,No,0,226,26.31,Postpaid,Premium,340.5,17,Yes,Yes,1
NSat2145,Male,Yes,No,1,432,25.12,Prepaid,Basic,92,14,Yes,No,1
NSat2146,Female,Yes,Yes,0,441,28.9,Prepaid,Basic,100,14,Yes,Yes,1
NSat2147,Male,No,No,0,91,27.11,Prepaid,Basic,80,6,No,No,1
NSat2148,Male,No,No,0,212,25.38,Prepaid,Basic,80,8,No,No,1
NSat2149,Male,No,Yes,0,321,26.91,Prepaid,Premium,126,17,Yes,Yes,0
NSat2150,Male,Yes,Yes,0,376,26,Prepaid,Basic,88,13,No,Yes,1
NSat2151,Female,Yes,Yes,0,472,24.46,Prepaid,Premium,126,27,Yes,Yes,0
NSat2152,Male,No,No,0,260,26.17,Postpaid,Premium,228.45,13,Yes,Yes,1
NSat2153,Female,Yes,Yes,0,312,26.81,Postpaid,Premium,299.15,17,Yes,Yes,1
NSat2154,Male,Yes,Yes,0,497,26.67,Prepaid,Basic,88,14,No,Yes,1
NSat2155,Female,Yes,Yes,0,245,20.01,Postpaid,Premium,352.35,15,Yes,Yes,1
NSat2156,Female,Yes,Yes,0,461,23.23,Prepaid,Premium,126,48,Yes,Yes,0
NSat2157,Female,No,No,0,331,27.61,Prepaid,Premium,126,49,Yes,Yes,0
NSat2158,Male,Yes,Yes,0,311,30.24,Prepaid,Basic,80,12,No,No,1
NSat2159,Male,Yes,Yes,0,122,29.13,Prepaid,Basic,80,5,No,No,1
NSat2160,Male,No,No,0,259,30.98,Prepaid,Basic,92,4,Yes,No,1
NSat2161,Female,No,Yes,0,419,31.39,Prepaid,Basic,80,7,No,No,1
NSat2162,Female,Yes,No,0,565,23.84,Prepaid,Basic,92,8,Yes,No,1
NSat2163,Female,No,No,0,379,25.24,Prepaid,Basic,80,5,No,No,1
NSat2164,Male,No,No,0,140,23.83,Prepaid,Basic,100,10,Yes,Yes,1
NSat2165,Female,Yes,Yes,0,429,29.37,Prepaid,Basic,80,12,No,No,1
NSat2166,Male,Yes,No,0,138,30.14,Prepaid,Premium,126,52,Yes,Yes,0
NSat2167,Female,No,No,0,455,23.82,Prepaid,Basic,80,14,No,No,1
NSat2168,Male,Yes,No,0,145,28.88,Prepaid,Basic,100,4,Yes,Yes,1
NSat2169,Male,Yes,No,1,447,30.21,Prepaid,Basic,80,3,No,No,1
NSat2170,Female,Yes,Yes,0,271,26.1,Postpaid,Premium,162.95,18,Yes,Yes,1
NSat2171,Male,Yes,No,0,198,19.77,Postpaid,Premium,145.5,17,Yes,Yes,1
NSat2172,Female,Yes,No,0,442,27.8,Prepaid,Premium,126,59,Yes,Yes,0
NSat2173,Male,Yes,No,0,334,27.36,Prepaid,Basic,88,14,No,Yes,1
NSat2174,Female,Yes,No,0,450,28.02,Postpaid,Premium,166.2,16,Yes,Yes,1
NSat2175,Female,No,No,0,210,25.35,Postpaid,Premium,214.45,16,Yes,Yes,1
NSat2176,Female,Yes,No,0,483,24.43,Postpaid,Premium,139.55,14,Yes,Yes,1
NSat2177,Female,No,No,1,376,24.19,Postpaid,Premium,197.9,15,Yes,Yes,1
NSat2178,Female,No,No,1,151,24.83,Prepaid,Basic,80,2,No,No,1
NSat2179,Female,Yes,Yes,0,145,23.66,Prepaid,Premium,126,6,Yes,Yes,0
NSat2180,Male,Yes,No,0,184,22.93,Prepaid,Basic,80,11,No,No,1
NSat2181,Female,No,No,0,343,21.47,Prepaid,Basic,80,11,No,No,1
NSat2182,Female,No,No,0,363,27.54,Postpaid,Premium,365.05,17,Yes,Yes,1
NSat2183,Male,No,No,0,286,30.95,Postpaid,Premium,222.3,18,Yes,Yes,1
NSat2184,Male,Yes,Yes,0,145,30.26,Prepaid,Premium,126,31,Yes,Yes,0
NSat2185,Female,No,No,0,393,28.31,Prepaid,Basic,80,5,No,No,1
NSat2186,Female,Yes,No,0,189,25.16,Postpaid,Premium,276.9,16,Yes,Yes,1
NSat2187,Male,No,No,0,141,26.38,Prepaid,Basic,80,6,No,No,1
NSat2188,Male,No,No,0,151,30.04,Prepaid,Basic,88,5,No,Yes,1
NSat2189,Female,No,No,0,251,23.49,Postpaid,Premium,332.95,15,Yes,Yes,1
NSat2190,Female,Yes,No,0,347,26.37,Prepaid,Basic,92,6,Yes,No,1
NSat2191,Male,Yes,Yes,0,422,25.11,Prepaid,Basic,100,5,Yes,Yes,1
NSat2192,Male,Yes,No,0,77,24.34,Prepaid,Premium,126,35,Yes,Yes,0
NSat2193,Female,Yes,Yes,0,464,27.6,Prepaid,Premium,126,45,Yes,Yes,0
NSat2194,Female,Yes,Yes,0,119,24.77,Prepaid,Premium,126,30,Yes,Yes,0
NSat2195,Male,Yes,Yes,0,434,25.09,Prepaid,Basic,80,7,No,No,1
NSat2196,Female,Yes,No,0,467,24.29,Prepaid,Basic,88,8,No,Yes,1
NSat2197,Male,Yes,Yes,0,164,24.09,Prepaid,Premium,126,50,Yes,Yes,0
NSat2198,Male,No,No,0,539,27.42,Prepaid,Basic,100,3,Yes,Yes,1
NSat2199,Male,Yes,Yes,0,68,26.23,Prepaid,Premium,126,58,Yes,Yes,0
NSat2200,Male,No,Yes,0,414,21.88,Postpaid,Premium,284.25,16,Yes,Yes,1
NSat2201,Female,Yes,No,0,139,20.07,Prepaid,Basic,88,5,No,Yes,1
NSat2202,Female,No,No,0,381,25.63,Prepaid,Basic,88,8,No,Yes,1
NSat2203,Male,Yes,Yes,0,101,25.54,Postpaid,Premium,250.7,16,Yes,Yes,1
NSat2204,Male,No,Yes,0,126,19.67,Prepaid,Basic,80,4,No,No,1
NSat2205,Male,No,No,0,229,22.99,Postpaid,Premium,154.5,14,Yes,Yes,1
NSat2206,Female,No,No,0,522,30.31,Postpaid,Premium,208.1,17,Yes,Yes,1
NSat2207,Male,Yes,Yes,0,279,25.05,Prepaid,Basic,88,12,No,Yes,1
NSat2208,Male,No,No,0,143,29.88,Prepaid,Basic,80,2,No,No,1
NSat2209,Female,No,No,0,192,30.5,Prepaid,Basic,88,12,No,Yes,1
NSat2210,Male,Yes,No,0,237,28.81,Postpaid,Premium,141.1,14,Yes,Yes,1
NSat2211,Male,No,No,0,538,21.36,Prepaid,Basic,80,10,No,No,1
NSat2212,Female,No,No,0,69,29.36,Prepaid,Premium,126,48,Yes,Yes,0
NSat2213,Male,No,Yes,0,192,28.01,Postpaid,Premium,199.65,16,Yes,Yes,1
NSat2214,Female,Yes,Yes,0,304,22.29,Prepaid,Basic,80,2,No,No,1
NSat2215,Male,Yes,No,1,510,26.67,Postpaid,Premium,168.05,16,Yes,Yes,1
NSat2216,Female,Yes,No,0,202,23.5,Prepaid,Premium,126,31,Yes,Yes,0
NSat2217,Male,Yes,Yes,0,169,21.78,Prepaid,Premium,126,60,Yes,Yes,0
NSat2218,Male,Yes,No,0,451,25.47,Prepaid,Premium,126,48,Yes,Yes,0
NSat2219,Male,Yes,Yes,0,409,23.84,Prepaid,Basic,100,7,Yes,Yes,1
NSat2220,Female,No,No,0,123,23.06,Prepaid,Basic,80,8,No,No,1
NSat2221,Female,No,No,0,125,31.7,Prepaid,Basic,80,11,No,No,1
NSat2222,Female,Yes,No,0,170,23.5,Postpaid,Premium,298.45,15,Yes,Yes,1
NSat2223,Male,Yes,Yes,0,536,28.24,Prepaid,Basic,80,3,No,No,1
NSat2224,Male,Yes,No,0,268,22.76,Prepaid,Basic,88,12,No,Yes,1
NSat2225,Female,No,No,0,53,24.41,Postpaid,Premium,306.3,15,Yes,Yes,1
NSat2226,Male,No,No,0,267,25.48,Prepaid,Basic,80,2,No,No,1
NSat2227,Female,Yes,Yes,0,74,23.75,Prepaid,Premium,126,48,Yes,Yes,0
NSat2228,Female,Yes,No,0,186,24.44,Prepaid,Premium,126,24,Yes,Yes,0
NSat2229,Male,No,No,0,421,29.14,Postpaid,Premium,258.25,13,Yes,Yes,1
NSat2230,Female,Yes,Yes,0,169,28.86,Prepaid,Premium,126,17,Yes,Yes,0
NSat2231,Male,No,No,0,134,26.03,Prepaid,Basic,100,1,Yes,Yes,1
NSat2232,Male,No,No,0,153,27.43,Prepaid,Premium,126,39,Yes,Yes,0
NSat2233,Male,No,No,0,195,24.41,Prepaid,Premium,126,39,Yes,Yes,0
NSat2234,Female,No,No,0,310,19.73,Prepaid,Basic,80,6,No,No,1
NSat2235,Female,No,No,0,395,26.95,Prepaid,Basic,92,1,Yes,No,1
NSat2236,Male,No,No,0,129,23.11,Postpaid,Premium,163.4,14,Yes,Yes,1
NSat2237,Female,No,No,0,380,32.66,Prepaid,Basic,88,14,No,Yes,1
NSat2238,Male,Yes,No,0,143,29.51,Prepaid,Basic,92,14,Yes,No,1
NSat2239,Female,No,No,1,561,26.72,Prepaid,Basic,80,5,No,No,1
NSat2240,Male,No,No,0,423,23.64,Prepaid,Basic,80,6,No,No,1
NSat2241,Female,No,No,0,382,27.01,Prepaid,Basic,100,6,Yes,Yes,1
NSat2242,Male,No,No,0,202,26.09,Postpaid,Premium,164.6,15,Yes,Yes,1
NSat2243,Female,Yes,Yes,0,323,29.92,Postpaid,Premium,227.1,18,Yes,Yes,1
NSat2244,Female,Yes,No,1,472,25.94,Prepaid,Basic,80,7,No,No,1
NSat2245,Female,No,No,1,550,29.51,Prepaid,Basic,80,14,No,No,1
NSat2246,Male,No,No,1,454,30.51,Prepaid,Basic,80,5,No,No,1
NSat2247,Male,No,No,0,393,23.09,Postpaid,Premium,217.75,15,Yes,Yes,1
NSat2248,Male,No,No,1,433,27.38,Prepaid,Basic,80,12,No,No,1
NSat2249,Male,No,No,0,382,25.53,Prepaid,Basic,80,14,No,No,1
NSat2250,Male,No,No,0,536,31.41,Postpaid,Premium,211.95,13,Yes,Yes,1
NSat2251,Female,Yes,No,0,145,19.79,Prepaid,Basic,80,5,No,No,1
NSat2252,Female,Yes,Yes,0,172,25.36,Prepaid,Basic,80,2,No,No,1
NSat2253,Male,Yes,No,1,167,21.67,Prepaid,Basic,80,11,No,No,1
NSat2254,Male,No,Yes,0,305,30.04,Postpaid,Premium,194.5,13,Yes,Yes,1
NSat2255,Male,No,No,0,125,26.39,Prepaid,Basic,80,3,No,No,1
NSat2256,Female,Yes,Yes,0,318,22.43,Prepaid,Basic,88,1,No,Yes,1
NSat2257,Female,Yes,Yes,0,128,21.29,Prepaid,Basic,100,7,Yes,Yes,1
NSat2258,Male,No,No,0,194,23.95,Prepaid,Basic,100,14,Yes,Yes,1
NSat2259,Female,Yes,No,0,417,29.52,Prepaid,Basic,80,11,No,No,1
NSat2260,Female,Yes,No,1,395,25.89,Prepaid,Basic,80,12,No,No,1
NSat2261,Male,No,No,1,261,24.56,Prepaid,Premium,126,51,Yes,Yes,0
NSat2262,Male,No,No,1,43,23.46,Prepaid,Basic,92,13,Yes,No,1
NSat2263,Male,Yes,No,1,27,21.73,Postpaid,Premium,126.35,13,Yes,Yes,1
NSat2264,Female,No,No,0,82,21.16,Prepaid,Basic,88,8,No,Yes,1
NSat2265,Female,Yes,No,0,389,24.94,Prepaid,Basic,100,6,Yes,Yes,1
NSat2266,Female,Yes,Yes,0,301,29.99,Prepaid,Basic,100,13,Yes,Yes,1
NSat2267,Male,No,No,0,290,27.8,Prepaid,Premium,126,41,Yes,Yes,0
NSat2268,Female,No,No,1,408,23.59,Prepaid,Basic,88,11,No,Yes,1
NSat2269,Male,No,No,0,259,20.96,Prepaid,Basic,80,2,No,No,1
NSat2270,Female,Yes,No,0,125,21.92,Prepaid,Basic,92,9,Yes,No,1
NSat2271,Female,No,No,1,232,21.29,Postpaid,Premium,249.1,13,Yes,Yes,1
NSat2272,Male,Yes,No,0,439,25.28,Prepaid,Basic,88,4,No,Yes,1
NSat2273,Male,No,No,0,441,28.9,Prepaid,Basic,80,1,No,No,1
NSat2274,Male,Yes,No,1,401,26.39,Postpaid,Premium,213,17,Yes,Yes,1
NSat2275,Male,No,No,0,261,26.96,Postpaid,Premium,359.65,17,Yes,Yes,1
NSat2276,Male,Yes,No,0,254,22.67,Prepaid,Premium,126,50,Yes,Yes,0
NSat2277,Female,Yes,No,0,94,23.94,Postpaid,Premium,147.15,17,Yes,Yes,1
NSat2278,Male,Yes,No,1,325,25.22,Prepaid,Basic,80,8,No,No,1
NSat2279,Male,No,No,0,238,23.65,Prepaid,Basic,88,10,No,Yes,1
NSat2280,Female,No,No,0,77,32.19,Prepaid,Basic,80,11,No,No,0
NSat2281,Female,No,No,0,207,22.22,Prepaid,Basic,80,10,No,No,0
NSat2282,Female,No,No,0,46,25.76,Prepaid,Premium,126,26,Yes,Yes,0
NSat2283,Female,No,Yes,0,382,20.78,Postpaid,Premium,207.35,18,Yes,Yes,1
NSat2284,Female,No,No,0,361,31.13,Prepaid,Premium,126,33,Yes,Yes,0
NSat2285,Male,Yes,Yes,0,391,30.34,Prepaid,Basic,80,3,No,No,1
NSat2286,Female,No,No,0,106,24.48,Prepaid,Basic,92,1,Yes,No,0
NSat2287,Female,No,No,0,323,23.85,Prepaid,Basic,80,3,No,No,0
NSat2288,Male,Yes,No,0,204,29.36,Prepaid,Premium,126,20,Yes,Yes,0
NSat2289,Male,No,No,1,173,21.5,Prepaid,Basic,80,5,No,No,1
NSat2290,Male,No,No,0,521,27.37,Prepaid,Premium,126,18,Yes,Yes,0
NSat2291,Male,No,No,1,375,30.98,Prepaid,Basic,92,11,Yes,No,1
NSat2292,Male,No,No,0,84,29.05,Prepaid,Basic,80,6,No,No,1
NSat2293,Male,Yes,Yes,0,411,24.36,Postpaid,Premium,336.95,18,Yes,Yes,1
NSat2294,Female,No,No,1,334,30.41,Postpaid,Premium,302.95,16,Yes,Yes,1
NSat2295,Female,No,No,0,412,20.83,Postpaid,Premium,296.1,13,Yes,Yes,1
NSat2296,Male,No,No,0,45,25.93,Prepaid,Premium,126,34,Yes,Yes,0
NSat2297,Female,Yes,Yes,0,134,27.8,Prepaid,Basic,80,5,No,No,1
NSat2298,Male,Yes,No,1,76,24.45,Postpaid,Premium,244.6,18,Yes,Yes,1
NSat2299,Male,Yes,Yes,0,483,22.94,Prepaid,Premium,126,41,Yes,Yes,0
NSat2300,Female,No,Yes,0,194,28.35,Prepaid,Basic,80,8,No,No,0
NSat2301,Male,No,No,0,181,25.33,Prepaid,Basic,80,6,No,No,1
NSat2302,Female,No,No,1,442,27.23,Postpaid,Premium,220.5,18,Yes,Yes,1
