Listener_ID,Age,Gender,Location,Music_Preferences,Income_Level,Platform,Album_Sales,Streaming_Numbers,Streaming_Platform,Acquisition_Medium
66,21,Male,New York,Hip-Hop,Low,Instagram,1,6,Spotify,Adverts
67,18,Male,Sydney,Pop,Medium,Twitter,0,6,YouTube,Organic
68,23,Male,Sydney,Pop,High,TikTok,1,10,Spotify,Adverts
69,22,Female,London,Alternative,Medium,TikTok,1,5,YouTube,Radio plays
70,19,Female,Los Angeles,Pop,Low,Twitter,1,6,Apple Music,Adverts
71,21,Male,New York,RnB,Low,Twitter,1,7,YouTube,Influencers
72,20,Female,London,Alternative,Medium,Twitter,0,6,YouTube,Adverts
73,22,Female,Sydney,Hip-Hop,Low,TikTok,1,7,YouTube,Organic
74,18,Female,Melbourne,Alternative,High,Instagram,1,6,YouTube,Influencers
75,18,Female,Sydney,Hip-Hop,Medium,Instagram,0,10,Apple Music,Radio plays
76,22,Male,Sydney,Pop,Medium,TikTok,1,10,Apple Music,Organic
77,20,Male,New York,Hip-Hop,Low,Twitter,1,5,YouTube,Influencers
78,18,Male,London,Pop,Low,Instagram,0,9,YouTube,Influencers
79,21,Female,Melbourne,Pop,Medium,Instagram,0,6,Tidal,Adverts
80,20,Female,Melbourne,Hip-Hop,Low,Instagram,0,7,Apple Music,Adverts
81,23,Female,Sydney,Country,Medium,Instagram,0,9,Spotify,Influencers
82,23,Male,London,Pop,High,Instagram,1,9,YouTube,Influencers
83,23,Female,Sydney,Hip-Hop,Low,Instagram,0,8,YouTube,Influencers
84,19,Female,Melbourne,Pop,Low,Instagram,1,9,YouTube,Organic
85,21,Male,Melbourne,Pop,Low,TikTok,1,7,Spotify,Adverts
86,21,Female,Melbourne,Pop,Low,Twitter,1,9,Apple Music,Influencers
87,18,Others,Melbourne,Country,Medium,Instagram,0,6,YouTube,Organic
88,20,Male,Melbourne,Pop,Medium,Instagram,1,9,Apple Music,Influencers
89,22,Male,Melbourne,RnB,High,Twitter,0,10,YouTube,Organic
90,21,Female,Melbourne,Alternative,Low,Instagram,1,8,Spotify,Influencers
91,18,Female,New York,Alternative,Low,Twitter,1,8,Apple Music,Radio plays
92,18,Male,Melbourne,Hip-Hop,Low,Twitter,1,7,Spotify,Radio plays
93,19,Female,Tokyo,RnB,Medium,Instagram,1,9,YouTube,Radio plays
94,20,Female,Melbourne,Hip-Hop,Low,Instagram,1,5,Tidal,Adverts
95,19,Female,New York,RnB,Low,Twitter,0,5,Spotify,Adverts
96,19,Female,Sydney,Hip-Hop,Low,TikTok,1,5,Apple Music,Adverts
97,18,Male,Melbourne,RnB,High,Instagram,1,10,Spotify,Organic
98,21,Male,Melbourne,Pop,Low,Instagram,1,9,Apple Music,Radio plays
99,23,Male,Melbourne,Pop,Low,Twitter,1,7,YouTube,Organic
100,23,Female,Melbourne,Pop,Low,Instagram,1,10,YouTube,Adverts
101,21,Male,Sydney,Hip-Hop,Medium,Twitter,1,8,Apple Music,Influencers
102,19,Male,Los Angeles,Hip-Hop,Low,Twitter,0,5,Apple Music,Influencers
103,22,Others,New York,Hip-Hop,Low,Instagram,1,7,Apple Music,Influencers
104,23,Male,Melbourne,Alternative,Low,Twitter,0,10,Tidal,Adverts
105,18,Male,Melbourne,Alternative,Low,Instagram,0,7,YouTube,Influencers
106,21,Male,Sydney,Country,Low,Instagram,1,9,Apple Music,Adverts
107,19,Male,New York,Hip-Hop,Medium,Instagram,1,6,Apple Music,Adverts
108,18,Female,Melbourne,Alternative,Low,Twitter,1,6,Spotify,Radio plays
109,18,Male,Sydney,Alternative,Medium,Instagram,0,8,Tidal,Influencers
110,23,Male,Melbourne,Country,Low,Instagram,1,6,Tidal,Influencers
111,18,Female,Melbourne,Pop,Medium,Twitter,1,8,YouTube,Influencers
112,22,Male,Melbourne,Hip-Hop,Low,TikTok,1,10,Spotify,Influencers
113,19,Male,London,Hip-Hop,Low,Instagram,1,7,YouTube,Adverts
114,22,Female,New York,Country,Low,TikTok,1,5,Apple Music,Radio plays
115,19,Female,Sydney,Pop,Medium,Instagram,1,10,YouTube,Adverts
116,21,Female,Melbourne,Hip-Hop,High,Instagram,1,6,Apple Music,Influencers
117,22,Male,Sydney,Pop,Low,Twitter,1,10,Spotify,Organic
118,23,Male,Melbourne,RnB,Low,Instagram,1,6,Apple Music,Adverts
119,18,Female,New York,Alternative,Low,Instagram,0,7,Tidal,Adverts
120,18,Male,Melbourne,Hip-Hop,Low,Instagram,1,5,Apple Music,Influencers
121,22,Male,New York,Alternative,Low,Instagram,1,8,YouTube,Influencers
122,18,Female,Lagos,Country,High,Twitter,1,8,YouTube,Adverts
123,21,Female,Melbourne,Pop,Low,Instagram,0,10,Spotify,Radio plays
124,18,Male,Melbourne,Country,High,Instagram,1,9,YouTube,Influencers
125,22,Female,Los Angeles,Pop,Low,Instagram,1,6,YouTube,Influencers
126,22,Female,Melbourne,RnB,Low,Instagram,1,5,YouTube,Adverts
127,18,Male,Melbourne,Pop,Low,Twitter,1,10,YouTube,Radio plays
128,18,Male,Sydney,Hip-Hop,High,Instagram,1,8,Spotify,Adverts
129,22,Male,Tokyo,Pop,Low,TikTok,1,9,YouTube,Influencers
130,20,Male,Los Angeles,Alternative,Low,Twitter,0,7,Apple Music,Adverts
131,18,Female,Los Angeles,Hip-Hop,Low,Instagram,1,10,Spotify,Radio plays
132,20,Female,Los Angeles,Pop,Low,Instagram,0,6,Apple Music,Radio plays
133,23,Female,London,Pop,Low,TikTok,1,10,Apple Music,Radio plays
134,20,Male,Sydney,Hip-Hop,Low,Twitter,1,5,Spotify,Radio plays
135,22,Male,Sydney,Pop,Low,Instagram,1,6,YouTube,Influencers
136,21,Female,Los Angeles,Hip-Hop,Medium,TikTok,1,10,Apple Music,Adverts
137,18,Male,Los Angeles,Hip-Hop,Low,Twitter,1,9,YouTube,Influencers
138,22,Female,Melbourne,Alternative,Medium,Twitter,0,9,Apple Music,Radio plays
139,23,Male,New York,Alternative,Low,Instagram,1,10,Spotify,Adverts
140,19,Female,Melbourne,Pop,High,Instagram,1,9,Spotify,Influencers
141,19,Male,Sydney,Pop,Low,Instagram,0,6,YouTube,Organic
142,18,Male,Sydney,Country,Low,Instagram,1,8,Apple Music,Radio plays
143,21,Male,Sydney,Hip-Hop,Low,Twitter,1,8,Tidal,Radio plays
144,22,Male,London,Pop,Medium,Twitter,1,7,Spotify,Radio plays
145,19,Female,London,Hip-Hop,Low,Instagram,1,9,Spotify,Adverts
146,23,Male,Melbourne,Pop,Medium,Twitter,1,10,YouTube,Organic
147,19,Female,Melbourne,Hip-Hop,Low,Instagram,1,5,Spotify,Radio plays
148,18,Male,Sydney,Alternative,High,Instagram,1,8,Apple Music,Radio plays
149,19,Male,Melbourne,Alternative,Medium,Instagram,0,5,Spotify,Radio plays
150,23,Female,Sydney,Pop,Medium,Instagram,0,6,Spotify,Influencers
151,18,Male,Melbourne,Alternative,Medium,Twitter,1,7,Apple Music,Adverts
152,18,Female,Sydney,Alternative,Medium,Instagram,0,7,Apple Music,Radio plays
153,22,Female,Los Angeles,Pop,Low,Twitter,1,6,Apple Music,Adverts
154,18,Male,Sydney,Hip-Hop,Medium,Twitter,1,9,YouTube,Radio plays
155,22,Male,New York,Pop,Low,Instagram,0,5,Spotify,Adverts
156,21,Female,New York,Pop,Low,Twitter,1,5,YouTube,Adverts
157,21,Female,Sydney,Pop,Low,TikTok,1,9,YouTube,Radio plays
158,23,Female,New York,Pop,High,Twitter,0,7,Apple Music,Radio plays
159,18,Others,New York,Pop,Low,Instagram,1,9,Spotify,Adverts
160,19,Male,Lagos,Pop,High,Instagram,1,5,Spotify,Influencers
161,22,Female,Melbourne,Hip-Hop,Medium,Instagram,1,7,Apple Music,Radio plays
162,20,Male,Sydney,Pop,Low,Instagram,1,5,Apple Music,Adverts
163,23,Female,Melbourne,Pop,High,Instagram,1,7,Apple Music,Adverts
164,18,Male,Los Angeles,Hip-Hop,Low,Twitter,0,6,Spotify,Adverts
165,20,Female,Sydney,Country,Low,Instagram,1,9,Apple Music,Radio plays
166,23,Male,Los Angeles,Alternative,Low,TikTok,0,10,Tidal,Radio plays
167,22,Male,Sydney,Alternative,Low,Instagram,0,9,Tidal,Influencers
168,23,Female,Lagos,Hip-Hop,Low,Twitter,0,10,Spotify,Radio plays
169,23,Female,Melbourne,Country,Medium,Twitter,1,10,YouTube,Radio plays
170,19,Male,Melbourne,Pop,Low,Twitter,1,10,YouTube,Influencers
171,18,Male,Sydney,Hip-Hop,Low,Instagram,0,10,YouTube,Radio plays
172,21,Female,New York,Alternative,High,Instagram,1,10,Apple Music,Adverts
173,23,Female,Melbourne,Country,Low,Instagram,1,8,Spotify,Organic
174,23,Female,Melbourne,RnB,Low,Instagram,1,10,Spotify,Organic
175,20,Female,Melbourne,Pop,High,Instagram,1,7,Others,Adverts
176,19,Female,Sydney,Pop,Low,Instagram,1,8,Apple Music,Radio plays
177,20,Male,London,Hip-Hop,High,Twitter,0,6,Others,Influencers
178,20,Male,Melbourne,Pop,Low,TikTok,1,9,Apple Music,Radio plays
179,23,Male,Sydney,Pop,Low,Twitter,1,8,YouTube,Influencers
180,18,Female,Melbourne,Pop,Low,Twitter,1,6,Spotify,Adverts
181,21,Male,Melbourne,Pop,Medium,Twitter,0,10,Spotify,Adverts
182,22,Female,Melbourne,Alternative,High,Twitter,1,9,Spotify,Influencers
183,19,Female,Melbourne,Country,High,Instagram,1,9,Apple Music,Radio plays
184,19,Male,London,Pop,Low,Instagram,1,7,Spotify,Organic
185,19,Male,Melbourne,Country,High,Instagram,1,10,YouTube,Adverts
186,22,Male,Melbourne,Alternative,Low,Instagram,1,8,YouTube,Organic
187,21,Female,Melbourne,Alternative,Medium,Twitter,1,9,Spotify,Radio plays
188,21,Female,New York,Country,High,Instagram,1,10,Spotify,Influencers
189,22,Female,Melbourne,RnB,High,Instagram,1,9,YouTube,Adverts
190,21,Female,Melbourne,RnB,Low,Instagram,1,10,YouTube,Organic
191,21,Male,Sydney,Hip-Hop,High,Instagram,1,7,Spotify,Radio plays
192,19,Male,Sydney,Pop,Low,Instagram,1,8,YouTube,Organic
193,23,Female,Melbourne,Pop,Low,Instagram,1,7,Tidal,Adverts
194,19,Male,New York,Alternative,Medium,Instagram,1,10,YouTube,Radio plays
195,20,Female,New York,Pop,Medium,Twitter,1,9,Spotify,Radio plays
196,18,Male,Melbourne,Pop,High,TikTok,0,9,YouTube,Influencers
197,18,Female,New York,Country,Low,Instagram,0,9,YouTube,Organic
198,21,Female,London,Country,Low,Instagram,1,5,Spotify,Radio plays
199,20,Male,Melbourne,Pop,High,Instagram,1,6,Apple Music,Radio plays
200,19,Female,Melbourne,Pop,Low,Twitter,0,6,Apple Music,Adverts
201,23,Male,Melbourne,Pop,Low,Twitter,1,7,Spotify,Adverts
202,23,Female,Melbourne,Hip-Hop,High,Twitter,0,9,Tidal,Radio plays
203,19,Male,Lagos,Alternative,High,Instagram,0,6,Spotify,Adverts
204,22,Female,Melbourne,Pop,Low,Instagram,0,8,Apple Music,Radio plays
205,22,Female,London,RnB,Low,Twitter,1,8,Tidal,Radio plays
206,22,Female,Los Angeles,Hip-Hop,Medium,Instagram,1,6,Spotify,Adverts
207,22,Female,London,Alternative,Low,Twitter,1,5,Spotify,Radio plays
208,20,Male,Sydney,RnB,Low,Instagram,1,9,Apple Music,Influencers
209,18,Female,Melbourne,Pop,High,Twitter,1,6,Others,Radio plays
210,18,Female,New York,Country,Low,TikTok,1,9,Tidal,Adverts
211,18,Male,Melbourne,Pop,Medium,Instagram,1,8,Tidal,Radio plays
212,18,Male,London,RnB,High,TikTok,0,7,Apple Music,Radio plays
213,20,Male,Melbourne,RnB,Low,Instagram,1,10,Apple Music,Organic
214,18,Female,Melbourne,Alternative,Low,Twitter,1,10,YouTube,Radio plays
215,23,Others,Sydney,Alternative,Low,Instagram,1,8,Spotify,Adverts
216,22,Male,New York,Hip-Hop,High,Instagram,1,7,YouTube,Radio plays
217,19,Female,Melbourne,Alternative,Low,TikTok,1,10,Apple Music,Radio plays
218,18,Female,London,Alternative,Medium,Instagram,1,8,Tidal,Adverts
219,21,Male,London,RnB,Low,Instagram,1,9,Spotify,Radio plays
220,23,Female,Sydney,Alternative,Medium,Instagram,1,10,Spotify,Radio plays
221,18,Female,Melbourne,Hip-Hop,High,Instagram,1,8,Apple Music,Radio plays
222,23,Female,Melbourne,Alternative,Low,Twitter,1,5,YouTube,Adverts
223,18,Female,Sydney,Pop,Low,Twitter,0,10,YouTube,Organic
224,18,Male,Melbourne,Alternative,Low,Instagram,1,6,YouTube,Adverts
225,20,Female,Melbourne,Country,High,Twitter,1,5,Spotify,Radio plays
226,21,Female,Sydney,Pop,High,Twitter,1,6,Spotify,Adverts
227,22,Male,Melbourne,Pop,Low,Twitter,0,6,Spotify,Adverts
228,22,Female,Melbourne,Hip-Hop,Low,Instagram,0,7,Tidal,Organic
229,23,Male,London,Hip-Hop,Low,TikTok,1,5,YouTube,Adverts
230,22,Female,London,Pop,Medium,Instagram,1,9,YouTube,Adverts
231,18,Female,Melbourne,Country,Medium,TikTok,1,5,Spotify,Adverts
232,19,Female,Melbourne,Pop,Low,Instagram,1,6,Spotify,Adverts
233,18,Female,Melbourne,Pop,Low,Twitter,1,5,Spotify,Radio plays
234,23,Female,Sydney,Pop,Medium,Instagram,0,8,Others,Radio plays
235,18,Male,Melbourne,Alternative,Low,Twitter,0,10,YouTube,Adverts
236,19,Female,Sydney,Pop,Medium,Twitter,1,6,Apple Music,Radio plays
237,20,Female,Melbourne,Alternative,Medium,Instagram,0,10,YouTube,Radio plays
238,19,Female,Melbourne,Country,Low,Twitter,1,7,Apple Music,Radio plays
239,23,Male,London,Alternative,Low,Instagram,0,8,YouTube,Radio plays
240,21,Female,Sydney,Hip-Hop,Low,Instagram,1,10,Spotify,Adverts
241,20,Female,New York,Hip-Hop,Low,Twitter,0,10,YouTube,Influencers
242,20,Female,Sydney,Pop,Low,Twitter,1,10,Spotify,Adverts
243,22,Female,Tokyo,Alternative,Medium,Instagram,0,7,Spotify,Radio plays
244,23,Female,Lagos,Alternative,Medium,Instagram,0,8,Apple Music,Adverts
245,18,Male,London,Hip-Hop,Low,Twitter,1,5,Spotify,Organic
246,21,Male,Los Angeles,Alternative,Medium,Instagram,1,5,Spotify,Adverts
247,21,Male,Sydney,Country,Low,Instagram,1,8,Apple Music,Adverts
248,18,Male,Melbourne,Hip-Hop,Medium,Twitter,1,10,Apple Music,Adverts
249,20,Male,Los Angeles,Country,Low,Instagram,0,8,Apple Music,Radio plays
250,19,Male,Sydney,Country,Low,Twitter,1,6,Spotify,Radio plays
251,23,Male,Melbourne,Pop,Low,Instagram,0,6,YouTube,Influencers
252,22,Male,Lagos,Hip-Hop,Low,Instagram,1,10,Spotify,Adverts
253,21,Female,Melbourne,RnB,Low,Instagram,1,7,Spotify,Influencers
254,21,Female,Los Angeles,Hip-Hop,High,Instagram,1,7,Spotify,Influencers
255,22,Female,Sydney,Hip-Hop,High,Instagram,1,7,YouTube,Adverts
256,19,Female,Sydney,Alternative,Low,Instagram,0,8,Spotify,Adverts
257,23,Male,Lagos,RnB,High,Instagram,0,6,Apple Music,Organic
258,23,Male,Melbourne,Hip-Hop,Medium,Instagram,0,10,Spotify,Adverts
259,18,Male,New York,Pop,Low,Instagram,1,7,Spotify,Influencers
260,18,Male,Melbourne,Hip-Hop,Low,TikTok,1,5,Apple Music,Radio plays
261,23,Male,London,Pop,Medium,Instagram,1,8,YouTube,Radio plays
262,18,Male,Tokyo,Pop,Low,Twitter,0,10,YouTube,Adverts
263,19,Others,London,Pop,Medium,Instagram,1,6,Spotify,Adverts
264,22,Male,Melbourne,Hip-Hop,High,Instagram,1,7,Spotify,Organic
265,19,Female,Melbourne,Hip-Hop,Low,Instagram,1,5,Apple Music,Organic
266,20,Female,Melbourne,Hip-Hop,Medium,Instagram,1,7,Apple Music,Influencers
267,18,Male,Sydney,Hip-Hop,Low,Instagram,1,8,YouTube,Radio plays
268,18,Male,Melbourne,RnB,Low,Instagram,1,5,YouTube,Radio plays
269,21,Male,Melbourne,Pop,Low,Twitter,0,6,YouTube,Radio plays
270,18,Male,Lagos,Hip-Hop,High,TikTok,1,6,Apple Music,Adverts
271,23,Male,London,Alternative,High,Instagram,0,8,Spotify,Adverts
272,21,Male,Melbourne,RnB,Low,Twitter,1,6,YouTube,Radio plays
273,22,Male,Los Angeles,Pop,Low,Instagram,1,10,Spotify,Organic
274,23,Female,Sydney,Hip-Hop,Low,Instagram,1,6,Apple Music,Radio plays
275,20,Female,Los Angeles,Hip-Hop,Medium,Instagram,1,7,YouTube,Adverts
276,21,Female,Melbourne,Pop,Low,Instagram,1,9,Others,Adverts
277,23,Male,Sydney,RnB,High,Instagram,1,7,Spotify,Adverts
278,18,Female,New York,Country,Low,Instagram,1,8,Apple Music,Organic
279,20,Male,New York,Hip-Hop,Medium,Instagram,0,8,Spotify,Organic
280,18,Others,London,Pop,Low,Instagram,1,7,Spotify,Influencers
281,19,Male,London,Country,Medium,Instagram,1,8,Spotify,Radio plays
282,19,Female,Sydney,Hip-Hop,High,Twitter,1,10,YouTube,Organic
283,22,Female,Sydney,Hip-Hop,Low,Instagram,0,6,Spotify,Organic
284,19,Female,New York,Hip-Hop,Medium,Instagram,0,7,Spotify,Influencers
285,19,Male,Melbourne,Alternative,High,Instagram,1,7,YouTube,Adverts
286,18,Male,Tokyo,RnB,Low,Twitter,1,6,Apple Music,Influencers
287,22,Male,New York,RnB,Low,Instagram,1,6,YouTube,Influencers
288,23,Male,Lagos,RnB,High,TikTok,0,7,Apple Music,Influencers
289,23,Female,Los Angeles,Hip-Hop,High,TikTok,1,9,Apple Music,Radio plays
290,21,Female,New York,Pop,High,Instagram,1,10,Spotify,Radio plays
291,21,Male,London,Alternative,Low,Twitter,1,9,YouTube,Adverts
292,18,Male,Los Angeles,Pop,Low,Twitter,0,8,Apple Music,Adverts
293,21,Male,London,Pop,Medium,Twitter,0,7,YouTube,Adverts
294,21,Male,Melbourne,Hip-Hop,Low,Twitter,1,7,Spotify,Influencers
295,21,Male,Melbourne,Pop,High,Twitter,1,9,Others,Radio plays
296,18,Female,Sydney,Hip-Hop,Medium,Twitter,0,10,YouTube,Adverts
297,19,Female,Sydney,Pop,Low,Instagram,1,7,Apple Music,Adverts
298,19,Male,Sydney,Hip-Hop,Low,Instagram,1,9,Apple Music,Influencers
299,20,Male,Melbourne,Hip-Hop,Low,Instagram,1,8,Others,Adverts
300,22,Female,Sydney,Alternative,Low,Instagram,1,9,Apple Music,Radio plays
301,19,Female,Sydney,Hip-Hop,Medium,Twitter,1,9,YouTube,Adverts
302,20,Female,Melbourne,Hip-Hop,High,Instagram,0,6,YouTube,Adverts
303,23,Female,Melbourne,Hip-Hop,High,Instagram,0,10,Spotify,Influencers
304,19,Male,Los Angeles,Country,Low,TikTok,1,6,Spotify,Adverts
305,20,Male,Melbourne,Pop,Low,Twitter,1,9,Apple Music,Influencers
306,21,Male,Melbourne,Pop,Low,Twitter,1,6,Spotify,Influencers
307,18,Female,Melbourne,Hip-Hop,Medium,Twitter,1,6,Others,Adverts
308,22,Female,Melbourne,RnB,Low,Instagram,0,9,Apple Music,Organic
309,18,Male,Melbourne,Pop,Low,Instagram,0,8,Apple Music,Adverts
310,18,Female,Melbourne,Pop,Low,Instagram,1,5,YouTube,Adverts
311,19,Male,Lagos,Pop,Medium,TikTok,1,5,Tidal,Radio plays
312,19,Female,Melbourne,Hip-Hop,Low,Instagram,1,6,YouTube,Adverts
313,21,Female,New York,Alternative,Low,Instagram,1,9,Spotify,Radio plays
314,19,Male,Sydney,Hip-Hop,Medium,Instagram,1,10,Spotify,Influencers
315,20,Male,Sydney,Alternative,Low,Twitter,0,6,Spotify,Radio plays
316,21,Female,Melbourne,RnB,High,TikTok,1,7,Spotify,Adverts
317,22,Female,Melbourne,Hip-Hop,Low,Instagram,1,8,YouTube,Influencers
318,21,Female,Los Angeles,Alternative,Medium,Twitter,0,10,Spotify,Adverts
319,20,Female,London,Hip-Hop,Low,Instagram,1,9,YouTube,Radio plays
320,18,Male,Los Angeles,Alternative,Low,Instagram,1,7,Spotify,Adverts
321,19,Male,Los Angeles,Hip-Hop,Medium,Instagram,1,8,YouTube,Radio plays
322,22,Female,New York,Pop,Low,Twitter,0,10,Others,Influencers
323,22,Male,Sydney,Hip-Hop,Low,Instagram,0,6,Apple Music,Organic
324,22,Female,Sydney,Hip-Hop,Medium,Twitter,1,9,Apple Music,Adverts
325,22,Female,New York,Pop,Low,Instagram,1,7,Spotify,Adverts
326,23,Female,Sydney,Pop,Low,TikTok,1,6,Spotify,Influencers
327,23,Male,Melbourne,Alternative,Medium,Instagram,1,7,Spotify,Adverts
328,18,Female,Melbourne,Hip-Hop,High,Twitter,0,9,YouTube,Radio plays
329,23,Female,New York,Hip-Hop,Low,TikTok,1,7,Spotify,Organic
330,22,Female,Melbourne,Alternative,Low,Twitter,1,7,Spotify,Adverts
331,19,Female,Melbourne,Alternative,Low,TikTok,0,10,YouTube,Adverts
332,21,Female,Sydney,Alternative,High,Instagram,0,7,Spotify,Radio plays
333,21,Female,Sydney,Hip-Hop,Medium,TikTok,1,10,Spotify,Influencers
334,18,Male,Melbourne,Alternative,Low,Instagram,1,6,Apple Music,Adverts
335,20,Female,Melbourne,Alternative,Low,Twitter,1,9,Spotify,Radio plays
336,20,Male,New York,Alternative,Medium,Instagram,1,9,Apple Music,Radio plays
337,21,Female,Sydney,Pop,Low,Instagram,1,7,Apple Music,Adverts
338,20,Male,Melbourne,Pop,High,Instagram,1,8,Apple Music,Adverts
339,20,Male,Melbourne,Pop,High,Instagram,1,6,Tidal,Adverts
340,21,Female,Melbourne,Country,High,Instagram,1,6,YouTube,Influencers
341,22,Male,Sydney,RnB,High,Twitter,1,6,YouTube,Radio plays
342,23,Female,New York,Hip-Hop,High,Instagram,1,5,Spotify,Radio plays
343,18,Male,London,Pop,Low,TikTok,1,7,Spotify,Radio plays
344,18,Female,Melbourne,Pop,Low,Twitter,1,7,Tidal,Adverts
345,19,Male,Melbourne,Hip-Hop,Low,Twitter,1,7,YouTube,Influencers
346,18,Male,Melbourne,Alternative,Low,Instagram,1,10,Apple Music,Radio plays
347,23,Female,Melbourne,Country,Low,TikTok,1,7,Apple Music,Radio plays
348,21,Female,New York,Pop,Low,Instagram,1,10,YouTube,Influencers
349,20,Female,Melbourne,RnB,Low,Twitter,1,10,YouTube,Influencers
