OrderID,SalesDate,ProductID,CustomerID,PersonnelID,SalesChannel,PaymentMode,StoreID,Quantity,SalesAmount
76,1/1/2023,130,SZ-20035,8,In-store,Mobile Payment,7,7,125937
77,1/1/2023,56,RM-19375,39,Online,Credit Card,6,3,141300
78,1/1/2023,160,HG-14845,26,Online,Mobile Payment,3,7,262500
79,1/1/2023,107,DP-3105,81,Online,Mobile Payment,4,2,31600
80,1/1/2023,99,AR-10540,96,Online,Mobile Payment,4,7,256135.95
81,1/1/2023,21,TP-21415,96,In-store,Debit Card,4,9,232200
82,1/1/2023,37,JB-16000,93,In-store,Credit Card,5,5,59000
83,1/1/2023,72,AM-10705,41,Online,Credit Card,4,5,274454.25
84,1/1/2023,198,AB-255,67,In-store,Debit Card,4,1,37500
85,1/1/2023,37,RP-19270,82,In-store,Debit Card,4,7,82600
86,1/1/2023,14,BK-11260,71,Online,Cash,2,3,47400
87,1/1/2023,102,JM-15250,61,Online,Mobile Payment,5,2,31600
88,1/1/2023,136,GP-14740,58,Online,Cash,1,5,134955
89,1/1/2023,121,LW-16990,84,Online,Mobile Payment,6,9,106200
90,1/1/2023,90,NZ-18565,19,Online,Debit Card,5,1,25610.85
91,1/1/2023,82,SV-10815,56,Online,Credit Card,7,3,96047.55
92,1/1/2023,161,SC-20695,77,Online,Credit Card,4,7,262500
93,1/1/2023,148,NC-18625,98,Online,Debit Card,6,3,103500
94,1/1/2023,105,NF-18385,18,In-store,Cash,5,9,124200
95,1/1/2023,201,NZ-18565,61,In-store,Cash,5,3,112500
96,1/1/2023,188,PM-18940,50,Online,Debit Card,1,8,399992
97,1/1/2023,91,MZ-17335,94,In-store,Cash,4,3,41147.55
98,1/1/2023,114,HM-4980,8,In-store,Debit Card,7,3,35400
99,1/1/2023,222,RW-19540,13,Online,Debit Card,6,4,98000
100,1/1/2023,167,LH-17155,36,Online,Cash,4,1,19999
101,1/1/2023,202,FH-14365,4,In-store,Debit Card,1,8,300000
102,1/1/2023,100,KM-16660,94,In-store,Credit Card,4,6,192095.1
103,1/1/2023,100,PO-18865,40,In-store,Debit Card,2,5,160079.25
104,1/1/2023,183,AB-10060,20,Online,Mobile Payment,7,3,56997
105,1/1/2023,196,AB-10060,10,In-store,Debit Card,7,4,150000
106,1/1/2023,116,DB-13060,79,Online,Debit Card,5,2,19600
107,1/1/2023,171,VM-21685,52,Online,Credit Card,4,4,75996
108,1/1/2023,138,BS-11365,22,Online,Mobile Payment,2,6,43146
109,1/1/2023,131,DM-13525,64,Online,Credit Card,3,3,67473
110,1/1/2023,213,NM-18520,76,In-store,Cash,1,2,25998
111,1/1/2023,73,LC-16885,67,In-store,Debit Card,4,1,54890.85
112,1/1/2023,25,SB-20185,43,Online,Credit Card,6,3,56400
113,1/1/2023,57,EM-14065,82,Online,Credit Card,4,6,191400
114,1/1/2023,37,RS-19765,58,Online,Mobile Payment,1,5,59000
115,1/1/2023,46,VS-21820,27,In-store,Cash,4,9,523800
116,1/1/2023,136,CM-12115,97,Online,Cash,5,8,215928
117,1/1/2023,88,TB-21400,42,In-store,Mobile Payment,7,5,128054.25
118,1/1/2023,70,AB-10105,44,In-store,Debit Card,3,2,43901.7
119,1/1/2023,198,JK-15325,96,In-store,Mobile Payment,4,3,112500
120,1/1/2023,181,RP-19270,58,Online,Cash,1,5,94995
121,1/1/2023,205,DW-13540,14,In-store,Credit Card,5,1,27500
122,1/1/2023,62,PS-19045,66,In-store,Debit Card,2,1,21950.85
123,1/1/2023,144,CC-12370,86,Online,Mobile Payment,5,5,67455
124,1/1/2023,111,TC-21295,43,In-store,Mobile Payment,6,6,118800
125,1/1/2023,13,GM-14440,61,In-store,Debit Card,5,3,44400
126,1/1/2023,140,SV-20815,86,In-store,Debit Card,5,1,8991
127,1/1/2023,112,MM-17920,13,Online,Credit Card,6,3,41400
128,1/1/2023,156,JK-16120,97,In-store,Cash,5,3,112500
129,1/1/2023,35,EM-14200,47,Online,Mobile Payment,5,1,10800
130,1/1/2023,9,DJ-13510,15,Online,Mobile Payment,5,8,102400
131,1/1/2023,220,PM-18940,50,In-store,Debit Card,1,7,139993
132,1/1/2023,196,AT-10435,80,Online,Credit Card,4,6,225000
133,1/1/2023,8,AB-10015,39,Online,Debit Card,6,3,44400
134,1/1/2023,34,RP-19390,1,In-store,Cash,5,7,89600
135,1/1/2023,181,MJ-17740,5,Online,Mobile Payment,6,7,132993
136,1/1/2023,133,PV-18985,2,In-store,Cash,3,6,70146
137,1/1/2023,37,SB-20290,11,Online,Cash,3,3,35400
138,1/1/2023,212,SM-10005,53,Online,Mobile Payment,5,7,90993
139,1/1/2023,112,KF-16285,94,In-store,Debit Card,4,2,27600
140,1/1/2023,15,KH-16330,51,Online,Credit Card,4,4,59200
141,1/1/2023,82,MP-18175,75,Online,Mobile Payment,2,3,96047.55
142,1/1/2023,186,LH-17020,77,Online,Mobile Payment,4,2,95000
143,1/1/2023,86,ND-18370,13,Online,Mobile Payment,6,7,134440.95
144,1/1/2023,207,CR-12625,73,In-store,Cash,2,3,38997
145,1/1/2023,65,GM-14680,98,Online,Credit Card,6,5,219554.25
146,1/1/2023,184,RA-19945,75,In-store,Credit Card,2,1,37500
147,1/1/2023,19,DB-13060,42,Online,Mobile Payment,7,2,51600
148,1/1/2023,203,BW-11110,72,In-store,Credit Card,5,3,112500
149,1/1/2023,222,RF-19735,84,Online,Debit Card,6,4,98000
150,1/1/2023,96,JH-15820,40,In-store,Debit Card,2,2,36581.7
151,1/1/2023,75,AG-10675,86,In-store,Debit Card,5,9,576367.65
152,1/1/2023,92,DM-12955,59,Online,Debit Card,4,6,87785.1
153,1/1/2023,68,KD-16270,79,Online,Cash,5,3,153692.55
154,1/1/2023,146,BE-11335,43,In-store,Debit Card,6,7,255500
155,1/1/2023,208,SO-20335,51,In-store,Mobile Payment,4,3,38997
156,1/1/2023,91,DK-12835,91,Online,Mobile Payment,5,6,82295.1
157,1/1/2023,150,LC-7050,19,In-store,Cash,5,6,207000
158,1/1/2023,69,PB-19210,90,In-store,Mobile Payment,3,9,230497.65
159,1/1/2023,208,CG-12520,10,In-store,Credit Card,7,8,103992
160,1/1/2023,169,TB-21280,19,In-store,Cash,5,2,37998
161,1/1/2023,95,HG-15025,50,Online,Cash,1,8,109726.8
162,1/1/2023,117,AD-10180,13,Online,Debit Card,6,1,11800
163,1/1/2023,171,BP-11155,90,In-store,Mobile Payment,3,6,113994
164,1/1/2023,190,AA-10480,88,Online,Cash,6,7,262500
165,1/1/2023,167,RL-19615,9,In-store,Debit Card,2,1,19999
166,1/1/2023,55,CS-12505,49,In-store,Credit Card,4,2,112200
167,1/1/2023,216,SW-20245,50,In-store,Mobile Payment,1,7,139993
168,1/1/2023,145,TA-21385,61,Online,Cash,5,8,71928
169,1/1/2023,19,BW-11110,100,In-store,Credit Card,4,6,154800
170,1/1/2023,64,YC-21895,86,Online,Cash,5,9,230497.65
171,1/1/2023,161,MZ-7335,93,Online,Credit Card,5,3,112500
172,1/1/2023,58,JF-15295,90,In-store,Debit Card,3,9,287100
173,1/1/2023,130,JL-15835,61,In-store,Debit Card,5,9,161919
174,1/1/2023,194,DJ-3510,57,In-store,Credit Card,5,9,269991
175,1/1/2023,36,MF-18250,74,In-store,Debit Card,6,5,59000
176,1/1/2023,106,JE-15610,18,In-store,Credit Card,5,7,138600
177,1/1/2023,145,CP-12340,92,Online,Debit Card,2,6,53946
178,1/1/2023,217,EH-14125,8,Online,Cash,7,2,39998
179,1/1/2023,48,NC-18340,8,In-store,Cash,7,4,341600
180,1/1/2023,149,BF-11005,15,In-store,Mobile Payment,5,6,207000
181,1/1/2023,198,JS-16030,81,In-store,Mobile Payment,4,9,337500
182,1/1/2023,117,AM-10360,72,Online,Cash,5,9,106200
183,1/1/2023,30,JF-15190,25,Online,Debit Card,7,9,196200
184,1/1/2023,108,AB-10015,50,In-store,Debit Card,1,2,31600
185,1/1/2023,58,JG-15160,94,In-store,Debit Card,4,3,95700
186,1/1/2023,189,DP-13390,77,Online,Cash,4,3,112500
187,1/1/2023,144,AG-10330,47,Online,Credit Card,5,3,40473
188,1/1/2023,169,GK-14620,62,Online,Mobile Payment,2,1,18999
189,1/1/2023,28,NF-18475,22,In-store,Cash,2,4,75200
190,1/1/2023,56,YC-21895,23,In-store,Debit Card,4,6,282600
191,1/1/2023,105,DR-12940,86,In-store,Cash,5,9,124200
192,1/1/2023,154,NB-18655,59,In-store,Credit Card,4,5,187500
193,1/1/2023,6,NM-18445,15,Online,Debit Card,5,6,142800
194,1/1/2023,38,TA-21385,24,Online,Cash,5,2,23600
195,1/1/2023,4,NP-18670,47,Online,Mobile Payment,5,7,166600
196,1/1/2023,90,SC-20380,30,Online,Cash,4,4,102443.4
197,1/1/2023,154,RB-19570,58,In-store,Debit Card,1,3,112500
198,1/1/2023,12,SR-20740,92,In-store,Debit Card,2,9,124200
199,1/1/2023,217,RH-19510,22,In-store,Credit Card,2,2,39998
200,1/1/2023,54,LH-16750,51,In-store,Credit Card,4,2,112200
201,1/1/2023,104,JG-15160,43,In-store,Mobile Payment,6,9,124200
202,1/1/2023,60,KB-16585,50,In-store,Cash,1,2,87821.7
203,1/1/2023,161,LH-17155,63,Online,Credit Card,7,8,300000
204,1/1/2023,43,EM-13810,58,Online,Credit Card,1,1,50800
205,1/1/2023,98,MZ-7515,86,In-store,Debit Card,5,1,27440.85
206,1/1/2023,134,DM-13345,49,In-store,Debit Card,4,6,70146
207,1/1/2023,152,SC-20305,76,Online,Debit Card,1,5,187500
208,1/1/2023,160,MH-18115,58,Online,Debit Card,1,2,75000
209,1/1/2023,65,KS-16300,68,Online,Debit Card,6,2,87821.7
210,1/1/2023,80,BG-11740,55,In-store,Credit Card,6,7,192085.95
211,1/1/2023,13,CR-2625,58,Online,Cash,1,9,133200
212,1/1/2023,129,CB-12415,24,Online,Credit Card,5,2,44982
213,1/1/2023,36,DK-13090,67,Online,Mobile Payment,4,4,47200
214,1/1/2023,16,JL-15835,42,Online,Mobile Payment,7,6,118800
215,1/1/2023,20,AP-10720,16,Online,Credit Card,2,2,41600
216,1/1/2023,140,CR-12820,91,Online,Credit Card,5,5,44955
217,1/1/2023,13,BF-11080,50,Online,Mobile Payment,1,6,88800
218,1/1/2023,135,JM-15265,28,In-store,Cash,7,7,62937
219,1/1/2023,33,NM-18445,88,Online,Mobile Payment,6,5,69000
220,1/1/2023,114,TW-21025,89,In-store,Credit Card,4,5,59000
221,1/1/2023,99,RB-19330,10,Online,Mobile Payment,7,6,219545.1
222,1/1/2023,191,PS-19045,50,Online,Mobile Payment,1,2,95000
223,1/1/2023,123,JA-15970,18,Online,Mobile Payment,5,2,17982
224,1/1/2023,5,AB-60,97,Online,Mobile Payment,5,2,43600
225,1/1/2023,167,JR-5670,33,Online,Cash,4,4,79996
226,1/1/2023,57,MD-17350,9,In-store,Mobile Payment,2,2,63800
227,1/1/2023,159,PK-19075,73,Online,Mobile Payment,2,2,75000
228,1/1/2023,151,EB-13840,90,Online,Cash,3,3,103500
229,1/1/2023,191,TP-21130,98,In-store,Debit Card,6,8,380000
230,1/1/2023,61,JK-15640,49,In-store,Debit Card,4,9,197557.65
231,1/1/2023,205,CD-11920,26,In-store,Cash,3,6,165000
232,1/1/2023,189,JL-5835,54,Online,Debit Card,4,3,112500
233,1/1/2023,172,MS-17770,96,Online,Cash,4,3,59997
234,1/1/2023,114,CM-12655,22,In-store,Cash,2,6,70800
235,1/1/2023,140,JC-6105,72,Online,Cash,5,7,62937
236,1/1/2023,156,GB-14530,58,Online,Credit Card,1,8,300000
237,1/1/2023,3,TW-21025,15,In-store,Cash,5,6,106800
238,1/1/2023,51,JH-16180,22,Online,Cash,2,1,32400
239,1/1/2023,103,MT-8070,69,In-store,Debit Card,6,9,70200
240,1/1/2023,141,AB-10105,78,In-store,Cash,4,4,107964
241,1/1/2023,180,LA-16780,30,In-store,Credit Card,4,4,75996
242,1/1/2023,28,NH-18610,50,In-store,Credit Card,1,4,75200
243,1/1/2023,206,HJ-14875,98,In-store,Cash,6,3,73500
244,1/1/2023,185,JL-15175,51,Online,Credit Card,4,8,300000
245,1/1/2023,29,MY-18295,50,In-store,Debit Card,1,1,18800
246,1/1/2023,20,SB-20290,17,In-store,Credit Card,1,6,124800
247,1/1/2023,47,JK-15640,10,Online,Debit Card,7,1,37600
248,1/1/2023,139,KC-16540,76,In-store,Cash,1,5,44955
249,1/1/2023,123,CS-12460,76,Online,Mobile Payment,1,9,80919
250,1/1/2023,71,HA-14920,51,Online,Debit Card,4,7,224110.95
251,1/1/2023,91,MT-17815,2,Online,Cash,3,9,123442.65
252,1/1/2023,160,FW-14395,59,Online,Cash,4,7,262500
253,1/1/2023,132,BH-11710,30,Online,Mobile Payment,4,7,50337
254,1/1/2023,57,DK-12895,33,Online,Credit Card,4,6,191400
255,1/1/2023,172,KD-16270,81,Online,Cash,4,7,139993
256,1/1/2023,123,SC-20845,54,In-store,Debit Card,4,7,62937
257,1/1/2023,159,CY-12745,61,Online,Cash,5,1,37500
258,1/1/2023,211,HL-15040,16,Online,Mobile Payment,2,5,64995
259,1/1/2023,78,CT-11995,48,Online,Mobile Payment,7,5,137204.25
260,1/1/2023,3,CC-12370,47,Online,Debit Card,5,1,17800
261,1/1/2023,61,GR-4560,25,In-store,Cash,7,1,21950.85
262,1/1/2023,212,TT-21070,86,Online,Debit Card,5,2,25998
263,1/1/2023,180,PO-19195,63,Online,Debit Card,7,8,151992
264,1/1/2023,81,ED-13885,21,Online,Mobile Payment,2,7,192085.95
265,1/1/2023,63,AP-10915,96,In-store,Mobile Payment,4,3,76832.55
266,1/1/2023,41,TM-21490,8,In-store,Credit Card,7,4,51200
267,1/1/2023,204,AW-10840,30,In-store,Credit Card,4,2,39998
268,1/1/2023,134,DP-13105,84,In-store,Debit Card,6,6,70146
269,1/1/2023,21,AT-10735,15,In-store,Credit Card,5,3,77400
270,1/1/2023,207,SG-10605,56,In-store,Mobile Payment,7,2,25998
271,1/1/2023,223,BM-11785,27,In-store,Credit Card,4,4,51996
272,1/1/2023,16,FH-14365,70,Online,Cash,6,4,79200
273,1/1/2023,106,DK-13375,16,Online,Mobile Payment,2,5,99000
274,1/1/2023,71,PF-19225,42,Online,Mobile Payment,7,8,256126.8
275,1/1/2023,156,TG-21310,43,In-store,Credit Card,6,4,150000
276,1/1/2023,24,YC-21895,68,In-store,Debit Card,6,1,21800
277,1/1/2023,77,SF-10200,62,In-store,Mobile Payment,2,3,82322.55
278,1/1/2023,90,HL-15040,53,In-store,Mobile Payment,5,7,179275.95
279,1/1/2023,25,JW-5220,95,In-store,Debit Card,6,1,18800
280,1/1/2023,166,CC-12100,24,Online,Credit Card,5,9,170991
281,1/1/2023,26,RD-19930,44,In-store,Credit Card,3,6,112800
282,1/1/2023,141,BP-1230,15,Online,Credit Card,5,6,161946
283,1/1/2023,18,EM-13810,11,Online,Mobile Payment,3,5,109000
284,1/1/2023,181,CS-12175,22,In-store,Debit Card,2,2,37998
285,1/1/2023,10,JD-16060,61,In-store,Cash,5,9,151200
286,1/1/2023,13,GH-14665,50,Online,Credit Card,1,6,88800
287,1/1/2023,54,CM-11935,56,In-store,Cash,7,2,112200
288,1/1/2023,71,JB-16000,5,In-store,Debit Card,6,6,192095.1
289,1/1/2023,89,RB-9465,10,In-store,Credit Card,7,6,175625.1
290,1/1/2023,115,RB-19795,87,In-store,Mobile Payment,4,1,9800
291,1/1/2023,107,PO-19195,58,Online,Debit Card,1,2,31600
292,1/1/2023,203,DL-13495,84,In-store,Cash,6,9,337500
293,1/1/2023,24,TS-21205,38,Online,Cash,7,6,130800
294,1/1/2023,89,TC-21295,90,In-store,Debit Card,3,4,117083.4
295,1/1/2023,5,MV-8190,86,In-store,Cash,5,1,21800
296,1/1/2023,205,NF-18385,50,Online,Credit Card,1,1,27500
297,1/1/2023,163,BD-11560,58,In-store,Credit Card,1,8,364000
298,1/1/2023,139,PS-18760,13,Online,Debit Card,6,6,53946
299,1/1/2023,189,FM-14215,5,Online,Debit Card,6,7,262500
300,1/1/2023,153,CA-12775,61,In-store,Debit Card,5,3,112500
301,1/1/2023,217,CD-12790,46,In-store,Credit Card,3,6,119994
302,1/1/2023,74,NL-18310,98,In-store,Credit Card,6,8,365926.8
303,1/1/2023,184,TB-21055,88,In-store,Credit Card,6,7,262500
304,1/1/2023,52,NF-18475,22,Online,Credit Card,2,7,428400
305,1/1/2023,207,KD-16495,82,In-store,Cash,4,3,38997
306,1/1/2023,208,EH-4125,54,In-store,Mobile Payment,4,4,51996
307,1/1/2023,87,KB-16600,62,Online,Cash,2,3,87812.55
308,1/1/2023,13,CS-12460,50,Online,Credit Card,1,6,88800
309,1/1/2023,199,KW-16435,15,In-store,Mobile Payment,5,1,37500
310,1/1/2023,187,MG-17695,32,In-store,Cash,3,1,37500
311,1/1/2023,38,VF-21715,57,In-store,Cash,5,2,23600
312,1/1/2023,65,AM-10705,53,Online,Cash,5,6,263465.1
313,1/1/2023,125,HM-14860,47,Online,Debit Card,5,6,161946
314,1/1/2023,13,BP-11290,94,In-store,Credit Card,4,8,118400
315,1/1/2023,27,TC-20980,18,Online,Cash,5,6,112800
316,1/1/2023,58,EM-13825,86,Online,Debit Card,5,5,159500
317,1/1/2023,14,RH-19495,61,Online,Mobile Payment,5,1,15800
318,1/1/2023,58,BS-11800,37,Online,Mobile Payment,4,7,223300
319,1/1/2023,187,DV-13465,8,In-store,Debit Card,7,6,225000
320,1/1/2023,145,MB-17305,70,In-store,Mobile Payment,6,2,17982
321,1/1/2023,25,CA-12310,15,In-store,Debit Card,5,9,169200
322,1/1/2023,102,KC-16255,72,Online,Mobile Payment,5,9,142200
323,1/1/2023,33,MB-18085,87,Online,Credit Card,4,6,82800
324,1/1/2023,222,RB-19795,92,Online,Cash,2,2,49000
325,1/1/2023,12,DB-3660,94,In-store,Mobile Payment,4,8,110400
326,1/1/2023,68,SC-20260,10,Online,Cash,7,5,256154.25
327,1/1/2023,135,BG-11740,95,Online,Cash,6,2,17982
328,1/1/2023,102,BD-11500,8,In-store,Mobile Payment,7,9,142200
329,1/1/2023,92,BM-11140,51,Online,Mobile Payment,4,5,73154.25
330,1/1/2023,83,KB-16315,74,Online,Cash,6,5,54854.25
331,1/1/2023,144,PK-19075,42,In-store,Mobile Payment,7,6,80946
332,1/1/2023,18,CS-12175,93,In-store,Mobile Payment,5,1,21800
333,1/1/2023,126,JM-15865,41,In-store,Debit Card,4,8,57528
334,1/1/2023,32,AF-10885,67,Online,Cash,4,8,94400
335,1/1/2023,21,SJ-20500,83,In-store,Mobile Payment,3,1,25800
336,1/1/2023,166,DM-12955,96,In-store,Mobile Payment,4,7,132993
337,1/1/2023,16,WB-21850,97,Online,Cash,5,6,118800
338,1/1/2023,43,CC-12610,18,Online,Credit Card,5,4,203200
339,1/1/2023,216,BW-1065,15,In-store,Debit Card,5,7,139993
340,1/1/2023,107,BE-11455,47,Online,Mobile Payment,5,5,79000
341,1/2/2023,8,TG-21640,61,Online,Mobile Payment,5,7,103600
342,1/2/2023,165,MS-17365,43,Online,Debit Card,6,4,75996
343,1/2/2023,35,NP-18685,28,Online,Mobile Payment,7,4,43200
344,1/2/2023,46,VM-21685,22,In-store,Debit Card,2,2,116400
345,1/2/2023,44,RM-19675,58,In-store,Credit Card,1,3,139800
346,1/2/2023,173,SC-20695,68,Online,Mobile Payment,6,4,75996
347,1/2/2023,98,SN-20560,2,Online,Cash,3,6,164645.1
348,1/2/2023,135,CD-12280,8,In-store,Debit Card,7,4,35964
349,1/2/2023,94,CC-12100,84,In-store,Debit Card,6,8,358606.8
350,1/2/2023,147,BG-11035,38,In-store,Cash,7,3,103500
351,1/2/2023,148,CC-12550,14,Online,Cash,5,4,138000
352,1/2/2023,14,AB-10105,41,Online,Credit Card,4,3,47400
353,1/2/2023,202,SV-20785,62,In-store,Credit Card,2,2,75000
354,1/2/2023,169,HW-14935,13,Online,Cash,6,8,151992
355,1/2/2023,155,AS-10285,76,In-store,Credit Card,1,8,300000
356,1/2/2023,71,LD-16855,54,Online,Debit Card,4,8,256126.8
357,1/2/2023,168,NS-18505,67,Online,Cash,4,8,151992
358,1/2/2023,76,CM-12715,41,Online,Mobile Payment,4,6,192095.1
359,1/2/2023,47,VG-21805,53,Online,Mobile Payment,5,7,263200
360,1/2/2023,22,JD-6060,21,Online,Mobile Payment,2,3,77400
361,1/2/2023,61,MG-17680,23,Online,Cash,4,3,65852.55
362,1/2/2023,103,CD-12280,80,In-store,Credit Card,4,4,31200
363,1/2/2023,93,DB-13210,62,In-store,Mobile Payment,2,3,61735.05
364,1/2/2023,160,CS-11860,50,In-store,Cash,1,4,150000
365,1/3/2023,193,AF-10885,14,In-store,Credit Card,5,8,300000
366,1/3/2023,5,GG-14650,44,In-store,Mobile Payment,3,6,130800
367,1/3/2023,200,BN-11470,63,In-store,Mobile Payment,7,1,37500
368,1/3/2023,174,EM-14065,35,In-store,Debit Card,3,4,79996
369,1/3/2023,68,BS-1665,53,In-store,Credit Card,5,2,102461.7
370,1/3/2023,36,AC-10450,11,Online,Debit Card,3,8,94400
371,1/3/2023,105,CK-12205,31,Online,Cash,7,2,27600
372,1/3/2023,54,JD-16150,26,In-store,Debit Card,3,3,168300
373,1/3/2023,196,CC-2550,76,In-store,Debit Card,1,3,112500
374,1/3/2023,72,MS-17830,80,Online,Cash,4,6,329345.1
375,1/3/2023,167,SM-20950,21,In-store,Cash,2,4,79996
376,1/3/2023,201,GT-14710,16,In-store,Credit Card,2,8,300000
377,1/3/2023,89,CL-12700,54,In-store,Credit Card,4,2,58541.7
378,1/3/2023,67,MM-17920,23,Online,Mobile Payment,4,9,329317.65
379,1/3/2023,13,CM-12160,13,In-store,Mobile Payment,6,4,59200
380,1/3/2023,42,DB-13060,6,In-store,Debit Card,3,1,50800
381,1/3/2023,41,JW-5220,62,In-store,Debit Card,2,9,115200
382,1/3/2023,116,BN-11470,2,In-store,Cash,3,3,29400
383,1/3/2023,152,JC-15775,23,In-store,Credit Card,4,6,225000
384,1/3/2023,2,LH-16900,33,Online,Cash,4,9,151200
385,1/3/2023,16,DV-13045,96,Online,Debit Card,4,8,158400
386,1/3/2023,113,BT-11530,19,In-store,Debit Card,5,4,55200
